target_id	length	eff_length	est_counts	tpm
TRINITY_DN32_c0_g1_i3	892	711.14	52.2317	74.0728
TRINITY_DN32_c0_g1_i8	895	714.14	6.99669	9.88073
TRINITY_DN43_c0_g1_i1	1927	1746.14	541	312.463
TRINITY_DN1_c0_g1_i1	1936	1755.14	6122	3517.72
TRINITY_DN1_c1_g1_i1	1226	1045.14	51	49.2125
TRINITY_DN1_c1_g2_i1	508	327.14	14	43.1593
TRINITY_DN1_c1_g3_i1	720	539.14	40	74.8235
TRINITY_DN1_c2_g1_i1	652	471.14	130	278.274
TRINITY_DN1_c2_g2_i2	832	651.14	66.6261	103.193
TRINITY_DN1_c2_g2_i1	823	642.14	29.3739	46.133
TRINITY_DN1_c2_g3_i1	519	338.14	175	521.941
TRINITY_DN63_c0_g1_i1	985	804.14	232	290.962
TRINITY_DN42_c0_g1_i1	3401	3220.14	578	181.023
TRINITY_DN47_c0_g1_i1	1224	1043.14	331	320.011
TRINITY_DN2_c0_g1_i1	1067	886.14	1896	2157.82
TRINITY_DN19_c0_g1_i1	894	713.14	608	859.822
TRINITY_DN24_c0_g1_i1	2309	2128.14	698	330.777
TRINITY_DN52_c0_g1_i1	1523	1342.14	244	183.346
TRINITY_DN97_c0_g1_i1	3113	2932.14	372	127.949
TRINITY_DN41_c0_g1_i1	1968	1787.14	920	519.169
TRINITY_DN41_c0_g2_i1	2060	1879.14	386	207.161
TRINITY_DN37_c0_g1_i2	3358	3177.14	1372.16	435.561
TRINITY_DN37_c0_g1_i1	3320	3139.14	379.837	122.03
TRINITY_DN5_c0_g1_i1	1914	1733.14	194	112.888
TRINITY_DN5_c0_g2_i1	1388	1207.14	114	95.2417
TRINITY_DN5_c1_g1_i1	3465	3284.14	361	110.858
TRINITY_DN5_c2_g1_i1	1482	1301.14	956	740.992
TRINITY_DN71_c0_g1_i1	1284	1103.14	199	181.929
TRINITY_DN71_c0_g2_i1	1335	1154.14	166	145.054
TRINITY_DN29_c0_g1_i1	1323	1142.14	353	311.699
TRINITY_DN46_c0_g1_i1	4387	4206.14	971	232.817
TRINITY_DN80_c0_g1_i1	1562	1381.14	96	70.0992
TRINITY_DN90_c0_g1_i1	1120	939.14	1559	1674.15
TRINITY_DN9_c0_g1_i1	989	808.14	591	737.532
TRINITY_DN12_c0_g1_i2	2203	2022.14	638.754	318.568
TRINITY_DN12_c0_g1_i5	2226	2045.14	948.75	467.852
TRINITY_DN12_c0_g1_i7	2226	2045.14	1496.11	737.771
TRINITY_DN12_c0_g1_i4	2203	2022.14	1065.38	531.342
TRINITY_DN65_c0_g1_i1	888	707.14	38.1371	54.3904
TRINITY_DN65_c0_g1_i2	2148	1967.14	165.863	85.0342
TRINITY_DN65_c0_g2_i1	851	670.14	91	136.948
TRINITY_DN65_c0_g3_i1	2152	1971.14	562	287.54
TRINITY_DN65_c0_g4_i3	3548	3367.14	355	106.328
TRINITY_DN65_c0_g4_i1	3514	3333.14	1198	362.479
TRINITY_DN65_c0_g5_i1	1307	1126.14	415	371.651
TRINITY_DN65_c1_g1_i1	2893	2712.14	571	212.326
TRINITY_DN65_c1_g2_i1	1352	1171.14	230	198.061
TRINITY_DN65_c2_g1_i1	805	624.14	106	171.279
TRINITY_DN65_c2_g2_i1	2737	2556.14	211.397	83.4052
TRINITY_DN65_c2_g2_i2	2664	2483.14	173.603	70.5078
TRINITY_DN65_c2_g3_i1	5422	5241.14	528	101.599
TRINITY_DN65_c3_g1_i1	1755	1574.14	348	222.954
TRINITY_DN65_c4_g1_i1	1281	1100.14	82	75.1702
TRINITY_DN68_c0_g1_i1	1240	1059.14	216	205.674
TRINITY_DN68_c0_g2_i1	1225	1044.14	202	195.107
TRINITY_DN92_c0_g1_i1	1182	1001.14	168	169.237
TRINITY_DN58_c0_g1_i3	1800	1619.14	1211.47	754.584
TRINITY_DN58_c0_g1_i2	1802	1621.14	438.531	272.81
TRINITY_DN6_c0_g1_i1	1678	1497.14	1091	734.924
TRINITY_DN11_c0_g1_i1	1803	1622.14	1102	685.13
TRINITY_DN7_c0_g1_i1	2435	2254.14	658	294.391
TRINITY_DN7_c0_g2_i1	4001	3820.14	2039	538.292
TRINITY_DN7_c1_g1_i1	1611	1430.14	140	98.7255
TRINITY_DN7_c1_g2_i1	1896	1715.14	132	77.6165
TRINITY_DN53_c0_g1_i1	833	652.14	144	222.69
TRINITY_DN84_c0_g1_i1	1402	1221.14	213	175.911
TRINITY_DN82_c0_g1_i1	2288	2107.14	1060.05	507.358
TRINITY_DN82_c0_g1_i2	2393	2212.14	348.947	159.084
TRINITY_DN23_c0_g1_i2	4279	4098.14	319.233	78.5599
TRINITY_DN23_c0_g1_i1	2968	2787.14	120.767	43.6987
TRINITY_DN23_c0_g2_i1	3255	3074.14	1063	348.73
TRINITY_DN23_c0_g3_i1	1862	1681.14	669	401.33
TRINITY_DN23_c1_g1_i1	604	423.14	47	112.02
TRINITY_DN99_c0_g1_i1	769	588.14	154	264.07
TRINITY_DN99_c0_g2_i1	965	784.14	230	295.811
TRINITY_DN27_c0_g1_i1	2463	2282.14	468	206.816
TRINITY_DN79_c0_g1_i3	1486	1305.14	188	145.272
TRINITY_DN91_c0_g1_i1	1187	1006.14	165	165.389
TRINITY_DN64_c0_g1_i1	1952	1771.14	294	167.407
TRINITY_DN64_c0_g2_i1	1891	1710.14	206	121.483
TRINITY_DN3_c0_g1_i1	1853	1672.14	1751	1056.07
TRINITY_DN13_c0_g1_i4	602	421.14	25.0784	60.0556
TRINITY_DN13_c0_g1_i1	1813	1632.14	521.16	322.028
TRINITY_DN13_c0_g1_i2	1801	1620.14	130.137	81.0077
TRINITY_DN13_c0_g1_i3	1527	1346.14	173.396	129.906
TRINITY_DN13_c0_g1_i7	1806	1625.14	184.246	114.337
TRINITY_DN13_c0_g1_i5	1144	963.14	41.5858	43.5447
TRINITY_DN13_c0_g1_i10	1522	1341.14	114.225	85.8946
TRINITY_DN78_c0_g1_i2	3243	3062.14	278.218	91.6306
TRINITY_DN78_c0_g1_i1	4741	4560.14	706.782	156.31
TRINITY_DN22_c0_g1_i1	1259	1078.14	365	341.427
TRINITY_DN22_c0_g2_i1	4305	4124.14	710	173.622
TRINITY_DN22_c1_g1_i1	1003	822.14	74	90.7749
TRINITY_DN22_c1_g2_i2	6905	6724.14	833	124.936
TRINITY_DN22_c1_g3_i2	3445	3264.14	199.531	61.6483
TRINITY_DN22_c1_g3_i3	1939	1758.14	245.258	140.686
TRINITY_DN22_c1_g3_i1	3187	3006.14	101.16	33.9373
TRINITY_DN22_c1_g3_i4	1443	1262.14	64.0515	51.1802
TRINITY_DN22_c1_g4_i1	2607	2426.14	819	340.446
TRINITY_DN22_c1_g5_i1	2517	2336.14	491	211.964
TRINITY_DN22_c1_g6_i1	717	536.14	24	45.1453
TRINITY_DN22_c1_g7_i1	578	397.14	45	114.274
TRINITY_DN22_c1_g8_i1	838	657.14	78	119.706
TRINITY_DN22_c2_g1_i1	1928	1747.14	900	519.511
TRINITY_DN18_c0_g1_i1	655	474.14	349	742.333
TRINITY_DN40_c0_g1_i1	9372	9191.14	2482	272.34
TRINITY_DN76_c0_g1_i1	1809	1628.14	326	201.932
TRINITY_DN59_c0_g1_i2	2233	2052.14	240.528	118.206
TRINITY_DN59_c0_g1_i1	1338	1157.14	26.8951	23.4406
TRINITY_DN59_c0_g1_i3	1397	1216.14	9.5772	7.94209
TRINITY_DN69_c0_g1_i1	1880	1699.14	310	183.998
TRINITY_DN39_c0_g1_i1	886	705.14	95	135.871
TRINITY_DN51_c0_g1_i1	2460	2279.14	547	242.045
TRINITY_DN56_c0_g1_i1	2614	2433.14	648	268.589
TRINITY_DN4_c0_g1_i1	712	531.14	31	58.8617
TRINITY_DN4_c1_g1_i1	3296	3115.14	3823	1237.67
TRINITY_DN35_c0_g1_i2	1611	1430.14	261.645	184.507
TRINITY_DN35_c0_g1_i1	1611	1430.14	49.3897	34.8288
TRINITY_DN35_c0_g1_i3	1611	1430.14	98.9655	69.7887
TRINITY_DN21_c0_g1_i24	3777	3596.14	1.32827e-08	3.72503e-09
TRINITY_DN21_c0_g1_i8	2232	2051.14	523.746	257.516
TRINITY_DN21_c0_g1_i13	2238	2057.14	3588.15	1759.08
TRINITY_DN21_c0_g1_i1	3754	3573.14	1450.2	409.316
TRINITY_DN21_c0_g1_i22	3488	3307.14	0	0
TRINITY_DN21_c0_g1_i3	2221	2040.14	390.502	193.038
TRINITY_DN21_c0_g1_i9	3434	3253.14	232.121	71.9601
TRINITY_DN21_c0_g1_i17	3777	3596.14	927.148	260.011
TRINITY_DN21_c0_g1_i11	3512	3331.14	0	0
TRINITY_DN21_c0_g1_i23	3380	3199.14	2004.76	631.988
TRINITY_DN21_c0_g1_i6	3645	3464.14	2469.28	718.877
TRINITY_DN85_c0_g1_i1	3814	3633.14	458	127.134
TRINITY_DN54_c0_g1_i7	3585	3404.14	5.17972e-07	1.53454e-07
TRINITY_DN54_c0_g1_i5	3588	3407.14	7.73092	2.28834
TRINITY_DN54_c0_g1_i4	3560	3379.14	16.8976	5.04312
TRINITY_DN54_c0_g1_i3	3557	3376.14	9.92072e-07	2.96348e-07
TRINITY_DN54_c0_g1_i1	3585	3404.14	140.873	41.7348
TRINITY_DN54_c0_g1_i6	3557	3376.14	312.412	93.3227
TRINITY_DN54_c0_g1_i2	3588	3407.14	237.087	70.1774
TRINITY_DN86_c0_g1_i1	2527	2346.14	594	255.336
TRINITY_DN93_c0_g1_i1	1502	1321.14	130	99.2372
TRINITY_DN77_c0_g1_i1	799	618.14	721	1176.33
TRINITY_DN31_c0_g1_i1	5016	4835.14	187.395	39.0867
TRINITY_DN31_c0_g1_i3	4324	4143.14	165.97	40.3999
TRINITY_DN31_c0_g1_i2	600	419.14	88.2209	212.272
TRINITY_DN31_c0_g1_i5	4942	4761.14	725.414	153.658
TRINITY_DN20_c0_g1_i1	1420	1239.14	579	471.235
TRINITY_DN20_c1_g1_i1	1482	1301.14	148	114.714
TRINITY_DN0_c0_g1_i7	5405	5224.14	11587.9	2237.01
TRINITY_DN0_c0_g1_i6	5059	4878.14	5196.96	1074.42
TRINITY_DN0_c0_g1_i3	5324	5143.14	19727.5	3868.33
TRINITY_DN0_c0_g1_i8	5324	5143.14	795.396	155.968
TRINITY_DN0_c0_g1_i11	1298	1117.14	134.472	121.396
TRINITY_DN0_c0_g1_i10	3929	3748.14	0	0
TRINITY_DN0_c0_g1_i12	5104	4923.14	4174.03	855.053
TRINITY_DN0_c0_g1_i15	3929	3748.14	697.84	187.767
TRINITY_DN0_c0_g1_i9	3929	3748.14	0	0
TRINITY_DN0_c0_g1_i5	3929	3748.14	1198.92	322.592
TRINITY_DN17_c0_g1_i1	4438	4257.14	1604	379.985
TRINITY_DN83_c0_g1_i1	4132	3951.14	298	76.063
TRINITY_DN83_c0_g2_i1	2813	2632.14	183	70.1168
TRINITY_DN87_c0_g1_i2	1876	1695.14	155.42	92.4656
TRINITY_DN87_c0_g1_i1	1888	1707.14	8943.97	5283.73
TRINITY_DN87_c0_g2_i1	1885	1704.14	426.57	252.444
TRINITY_DN49_c0_g1_i1	1335	1154.14	335	292.729
TRINITY_DN89_c0_g1_i1	1168	987.14	146	149.161
TRINITY_DN164_c0_g1_i1	1644	1463.14	189	130.273
TRINITY_DN103_c0_g1_i1	554	373.14	62	167.571
TRINITY_DN106_c0_g1_i1	1044	863.14	136	158.905
TRINITY_DN141_c0_g1_i1	2753	2572.14	300	117.627
TRINITY_DN150_c0_g1_i1	2054	1873.14	227	122.218
TRINITY_DN161_c0_g1_i1	1657	1476.14	97	66.2711
TRINITY_DN135_c0_g1_i1	3284	3103.14	503	163.473
TRINITY_DN121_c0_g1_i2	811	630.14	107.486	172.027
TRINITY_DN121_c0_g1_i1	811	630.14	94.5138	151.265
TRINITY_DN171_c0_g1_i1	879	698.14	50	72.2283
TRINITY_DN119_c0_g1_i1	1227	1046.14	198	190.878
TRINITY_DN158_c0_g1_i1	1455	1274.14	140	110.813
TRINITY_DN143_c0_g1_i1	663	482.14	64	133.871
TRINITY_DN143_c1_g1_i1	816	635.14	67	106.386
TRINITY_DN128_c0_g1_i1	1683	1502.14	94	63.1099
TRINITY_DN120_c0_g1_i1	808	627.14	53.1447	85.4625
TRINITY_DN120_c0_g1_i4	817	636.14	71.8553	113.916
TRINITY_DN112_c0_g1_i1	1805	1624.14	180	111.771
TRINITY_DN112_c1_g1_i1	1601	1420.14	149	105.812
TRINITY_DN160_c0_g1_i1	1077	896.14	113	127.169
TRINITY_DN160_c0_g2_i1	1085	904.14	71	79.1959
TRINITY_DN174_c0_g1_i1	659	478.14	105.04	221.553
TRINITY_DN109_c0_g1_i1	2801	2620.14	490	188.604
TRINITY_DN140_c0_g1_i1	2197	2016.14	117	58.5255
TRINITY_DN140_c0_g1_i2	567	386.14	51	133.2
TRINITY_DN196_c0_g1_i4	1466	1285.14	25.1681	19.7506
TRINITY_DN196_c0_g1_i3	1466	1285.14	26.6539	20.9165
TRINITY_DN196_c0_g1_i2	1183	1002.14	38.8158	39.0625
TRINITY_DN196_c0_g1_i1	1183	1002.14	36.3622	36.5933
TRINITY_DN151_c0_g1_i1	2262	2081.14	271	131.325
TRINITY_DN184_c0_g1_i2	789	608.14	72.0329	119.456
TRINITY_DN184_c0_g1_i1	983	802.14	97.9671	123.171
TRINITY_DN184_c0_g2_i1	760	579.14	285	496.296
TRINITY_DN184_c0_g3_i1	780	599.14	103	173.376
TRINITY_DN149_c0_g1_i4	1382	1201.14	25.942	21.7816
TRINITY_DN149_c0_g1_i1	1370	1189.14	59.7786	50.6982
TRINITY_DN149_c0_g1_i2	1388	1207.14	39.6936	33.1621
TRINITY_DN149_c0_g1_i3	1376	1195.14	87.5858	73.9086
TRINITY_DN136_c0_g1_i1	2132	1951.14	184	95.1063
TRINITY_DN175_c0_g1_i1	694	513.14	71.6535	140.826
TRINITY_DN175_c0_g1_i2	694	513.14	58.3465	114.672
TRINITY_DN172_c0_g1_i1	638	457.14	48	105.894
TRINITY_DN172_c0_g2_i1	668	487.14	23	47.6161
TRINITY_DN188_c0_g1_i1	2471	2290.14	175	77.0648
TRINITY_DN147_c0_g1_i1	1614	1433.14	114	80.2225
TRINITY_DN113_c0_g1_i2	1606	1425.14	624.51	441.938
TRINITY_DN113_c0_g1_i3	1597	1416.14	78.321	55.7766
TRINITY_DN113_c0_g1_i1	1597	1416.14	3.53616	2.51829
TRINITY_DN113_c0_g1_i4	1631	1450.14	381.633	265.409
TRINITY_DN101_c0_g1_i1	1636	1455.14	200	138.613
TRINITY_DN195_c0_g1_i4	1053	872.14	22.1189	25.5774
TRINITY_DN195_c0_g1_i1	1053	872.14	69.8805	80.8071
TRINITY_DN195_c0_g1_i3	1097	916.14	132.637	146.01
TRINITY_DN195_c0_g1_i2	1097	916.14	52.3637	57.6432
TRINITY_DN157_c0_g1_i1	1127	946.14	135	143.899
TRINITY_DN133_c0_g1_i1	2862	2681.14	336	126.386
TRINITY_DN155_c0_g1_i1	1220	1039.14	158	153.343
TRINITY_DN110_c0_g1_i1	700	519.14	43	83.5341
TRINITY_DN183_c0_g1_i1	1570	1389.14	87	63.1616
TRINITY_DN183_c0_g2_i1	1506	1325.14	77	58.6015
TRINITY_DN183_c1_g1_i1	2935	2754.14	830	303.929
TRINITY_DN166_c0_g1_i1	2218	2037.14	132	65.3481
TRINITY_DN166_c1_g1_i1	1407	1226.14	78	64.1556
TRINITY_DN148_c0_g1_i1	3303	3122.14	353	114.026
TRINITY_DN153_c0_g1_i1	1060	879.14	84	96.3609
TRINITY_DN162_c0_g1_i1	549	368.14	59.1727	162.102
TRINITY_DN105_c0_g1_i1	3997	3816.14	377	99.6315
TRINITY_DN178_c0_g1_i1	802	621.14	241	391.298
TRINITY_DN125_c0_g1_i1	1530	1349.14	146	109.138
TRINITY_DN137_c0_g1_i1	2050	1869.14	201	108.451
TRINITY_DN122_c0_g1_i2	767	586.14	23.2965	40.0839
TRINITY_DN122_c0_g1_i1	830	649.14	23.7035	36.8259
TRINITY_DN122_c0_g2_i1	621	440.14	30	68.7401
TRINITY_DN122_c1_g1_i1	693	512.14	60	118.152
TRINITY_DN145_c0_g1_i1	1641	1460.14	301	207.899
TRINITY_DN145_c0_g2_i1	1713	1532.14	385	253.421
TRINITY_DN169_c0_g1_i5	1441	1260.14	215.424	172.407
TRINITY_DN169_c0_g1_i4	1458	1277.14	125.172	98.8435
TRINITY_DN169_c0_g1_i1	1441	1260.14	5.97838	4.78459
TRINITY_DN169_c0_g2_i1	1448	1267.14	173.425	138.028
TRINITY_DN194_c0_g1_i4	1769	1588.14	420.553	267.062
TRINITY_DN194_c0_g1_i1	1771	1590.14	408.447	259.048
TRINITY_DN194_c0_g2_i1	1033	852.14	47	55.6246
TRINITY_DN159_c0_g1_i1	1869	1688.14	224	133.819
TRINITY_DN100_c0_g1_i1	4697	4516.14	580	129.521
TRINITY_DN100_c0_g2_i1	2499	2318.14	383	166.625
TRINITY_DN132_c0_g1_i1	1838	1657.14	145	88.2447
TRINITY_DN127_c0_g1_i1	1333	1152.14	142	124.298
TRINITY_DN186_c0_g1_i1	1049	868.14	60	69.7014
TRINITY_DN186_c0_g2_i1	4591	4410.14	931	212.901
TRINITY_DN186_c0_g3_i1	1456	1275.14	931	736.329
TRINITY_DN186_c1_g1_i1	2039	1858.14	208	112.892
TRINITY_DN186_c1_g2_i1	1754	1573.14	135	86.5458
TRINITY_DN179_c0_g1_i2	646	465.14	70	151.773
TRINITY_DN179_c0_g1_i1	590	409.14	58	142.967
TRINITY_DN146_c0_g1_i1	4838	4657.14	495	107.193
TRINITY_DN134_c0_g1_i1	813	632.14	71	113.273
TRINITY_DN102_c0_g1_i1	5271	5090.14	979	193.969
TRINITY_DN191_c0_g1_i1	818	637.14	56.5135	89.4535
TRINITY_DN191_c0_g1_i2	818	637.14	66.4865	105.239
TRINITY_DN115_c0_g1_i1	1259	1078.14	147	137.506
TRINITY_DN199_c0_g1_i1	2129	1948.14	194	100.43
TRINITY_DN187_c0_g1_i1	562	381.14	44	116.425
TRINITY_DN129_c0_g1_i1	1644	1463.14	113	77.8883
TRINITY_DN129_c0_g2_i1	1945	1764.14	160	91.4675
TRINITY_DN193_c0_g1_i1	5947	5766.14	956	167.206
TRINITY_DN124_c0_g1_i1	1995	1814.14	241	133.976
TRINITY_DN197_c0_g1_i1	1037	856.14	90	106.017
TRINITY_DN197_c0_g2_i1	3314	3133.14	200	64.3769
TRINITY_DN123_c0_g1_i1	1519	1338.14	278	209.519
TRINITY_DN123_c0_g2_i1	1429	1248.14	298	240.787
TRINITY_DN130_c0_g1_i1	2813	2632.14	263	100.769
TRINITY_DN144_c0_g1_i1	6519	6338.14	766	121.884
TRINITY_DN198_c0_g1_i1	1016	835.14	75	90.5695
TRINITY_DN190_c0_g1_i1	813	632.14	42	67.0063
TRINITY_DN108_c0_g1_i1	1509	1328.14	218	165.536
TRINITY_DN108_c0_g2_i1	628	447.14	51	115.029
TRINITY_DN108_c1_g1_i1	1741	1560.14	162	104.72
TRINITY_DN192_c0_g1_i1	1809	1628.14	2499	1547.94
TRINITY_DN114_c0_g1_i1	3149	2968.14	416	141.348
TRINITY_DN111_c0_g1_i1	2368	2187.14	231	106.516
TRINITY_DN139_c0_g1_i1	1944	1763.14	354	202.487
TRINITY_DN173_c0_g1_i1	1046	865.14	86	100.252
TRINITY_DN173_c0_g2_i1	1107	926.14	226	246.1
TRINITY_DN163_c0_g1_i1	1887	1706.14	429	253.584
TRINITY_DN180_c0_g1_i1	762	581.14	71	123.213
TRINITY_DN168_c0_g1_i1	1945	1764.14	154	88.0375
TRINITY_DN107_c0_g1_i1	1110	929.14	155	168.24
TRINITY_DN117_c0_g1_i1	5464	5283.14	612.914	117
TRINITY_DN117_c0_g1_i2	5464	5283.14	1258.09	240.159
TRINITY_DN131_c0_g1_i1	736	555.14	36	65.4003
TRINITY_DN131_c0_g2_i4	1172	991.14	95.8081	97.4871
TRINITY_DN131_c0_g2_i3	1229	1048.14	156	150.102
TRINITY_DN131_c0_g2_i2	572	391.14	0	0
TRINITY_DN131_c0_g2_i1	5411	5230.14	965.692	186.211
TRINITY_DN131_c0_g2_i5	5391	5210.14	148.197	28.6859
TRINITY_DN131_c0_g2_i7	1497	1316.14	51.3031	39.3117
TRINITY_DN131_c0_g2_i6	678	497.14	54	109.546
TRINITY_DN131_c0_g3_i1	1134	953.14	187	197.863
TRINITY_DN131_c0_g4_i1	934	753.14	106	141.942
TRINITY_DN131_c0_g5_i1	1792	1611.14	154	96.3978
TRINITY_DN131_c0_g6_i1	1457	1276.14	84	66.3836
TRINITY_DN131_c1_g1_i3	1657	1476.14	269	183.783
TRINITY_DN131_c2_g1_i1	1178	997.14	92	93.049
TRINITY_DN131_c3_g1_i1	835	654.14	31	47.7937
TRINITY_DN131_c3_g2_i1	1861	1680.14	110	66.0278
TRINITY_DN131_c3_g3_i1	1681	1500.14	146	98.1524
TRINITY_DN152_c0_g1_i1	1634	1453.14	226	156.849
TRINITY_DN165_c0_g1_i1	1886	1705.14	142.298	84.1624
TRINITY_DN165_c0_g1_i2	1745	1564.14	236.702	152.618
TRINITY_DN154_c0_g1_i1	1598	1417.14	68	48.3923
TRINITY_DN189_c0_g1_i1	1332	1151.14	151	132.29
TRINITY_DN138_c0_g1_i1	1762	1581.14	389	248.118
TRINITY_DN177_c0_g1_i2	1137	956.14	509.731	537.65
TRINITY_DN177_c0_g1_i1	1439	1258.14	61.2687	49.1122
TRINITY_DN176_c0_g1_i1	899	718.14	161	226.098
TRINITY_DN176_c0_g1_i2	562	381.14	0	0
TRINITY_DN176_c0_g1_i3	764	583.14	0	0
TRINITY_DN176_c1_g1_i9	1161	980.14	10.9964	11.3147
TRINITY_DN176_c1_g1_i18	708	527.14	0	0
TRINITY_DN176_c1_g1_i20	564	383.14	94.1408	247.799
TRINITY_DN176_c1_g1_i16	1585	1404.14	226.437	162.636
