name,tpm_kallisto,count_kallisto,tpm_rsem,count_rsem
TRINITY_DN28_c0_g2_i2,58.9725,179.0,59.57,142.0
TRINITY_DN28_c0_g2_i1,44.0754,41.0,42.33,31.0
TRINITY_DN28_c0_g2_i3,73.8487,84.0,75.98,68.0
TRINITY_DN28_c0_g3_i1,76.7885,278.0,74.92,213.0
TRINITY_DN28_c0_g4_i1,374.349,882.0,376.55,697.0
TRINITY_DN28_c0_g5_i1,335.2390000000001,377.0,333.4,295.0
TRINITY_DN28_c0_g6_i1,85.1925,30.0,82.49,23.0
TRINITY_DN26_c0_g1_i1,434.768,623.0,421.56,475.0
TRINITY_DN30_c0_g1_i1,874.23,1290.0,887.76,1030.0
TRINITY_DN30_c0_g2_i1,69.4065,103.103,68.94,80.52
TRINITY_DN30_c0_g3_i1,304.612,451.897,297.89,347.48
TRINITY_DN72_c0_g1_i2,65.0396,128.991,65.86,102.64
TRINITY_DN72_c0_g1_i1,19.5908,16.0093,22.3,14.36
TRINITY_DN38_c0_g1_i1,330.11,511.0,327.03,398.0
TRINITY_DN50_c0_g1_i1,309.538,264.0,293.3,197.0
TRINITY_DN34_c0_g1_i5,267.78700000000003,271.672,231.26,184.66
TRINITY_DN34_c0_g1_i6,355.851,265.744,326.14,191.91
TRINITY_DN34_c0_g1_i7,21.1966,21.5042,91.03,72.68
TRINITY_DN34_c0_g1_i2,98.8763,100.311,85.75,68.47
TRINITY_DN34_c0_g1_i4,167.43200000000004,169.861,195.0,155.7
TRINITY_DN34_c0_g2_i1,161.04,177.908,159.42,138.58
TRINITY_DN74_c0_g1_i1,119.023,144.0,128.19,122.0
TRINITY_DN15_c0_g1_i1,457.024,1636.0,457.48,1286.0
TRINITY_DN73_c0_g1_i1,208.428,340.0,206.65,265.0
TRINITY_DN94_c0_g1_i1,354.208,706.0,350.51,549.0
TRINITY_DN94_c0_g2_i1,104.128,79.0,105.39,63.0
TRINITY_DN57_c0_g1_i1,178.294,410.0,178.23,322.0
TRINITY_DN32_c0_g2_i2,11.0685,13.8412,104.81,103.09
TRINITY_DN32_c0_g2_i4,228.468,463.986,233.97,373.39
TRINITY_DN32_c0_g2_i6,57.3643,30.4958,122.03,51.21
TRINITY_DN32_c0_g2_i1,0.0,0.0,0.0,0.0
TRINITY_DN32_c0_g2_i3,202.993,290.677,104.19,117.31
TRINITY_DN32_c0_g1_i4,171.399,197.51,228.53,207.19
TRINITY_DN32_c0_g1_i7,67.4959,77.9787,68.96,62.68
TRINITY_DN32_c0_g1_i5,257.361,226.134,222.82,154.17
TRINITY_DN32_c0_g1_i11,0.0,0.0,0.0,0.0
TRINITY_DN32_c0_g1_i2,56.9388,40.1498,67.56,37.55
TRINITY_DN32_c0_g1_i3,74.0728,52.2317,74.12,41.19
TRINITY_DN32_c0_g1_i8,9.88073,6.996689999999999,0.27,0.15
TRINITY_DN43_c0_g1_i1,312.463,541.0,318.9,434.0
TRINITY_DN1_c0_g1_i1,3517.72,6122.0,3539.64,4842.0
TRINITY_DN1_c1_g1_i1,49.2125,51.0,42.91,35.0
TRINITY_DN1_c1_g2_i1,43.1593,14.0,46.69,12.0
TRINITY_DN1_c1_g3_i1,74.8235,40.0,73.47,31.0
TRINITY_DN1_c2_g1_i1,278.274,130.0,238.45,88.0
TRINITY_DN1_c2_g2_i2,103.193,66.6261,100.7,51.26
TRINITY_DN1_c2_g2_i1,46.133,29.3739,47.28,23.74
TRINITY_DN1_c2_g3_i1,521.941,175.0,399.12,106.0
TRINITY_DN63_c0_g1_i1,290.962,232.0,304.09,191.0
TRINITY_DN42_c0_g1_i1,181.023,578.0,179.45,450.0
TRINITY_DN47_c0_g1_i1,320.011,331.0,320.62,261.0
TRINITY_DN2_c0_g1_i1,2157.82,1896.0,2108.69,1459.0
TRINITY_DN19_c0_g1_i1,859.822,608.0,859.48,479.0
TRINITY_DN24_c0_g1_i1,330.777,698.0,332.31,551.0
TRINITY_DN52_c0_g1_i1,183.346,244.0,183.44,192.0
TRINITY_DN97_c0_g1_i1,127.949,372.0,130.06,297.0
TRINITY_DN41_c0_g1_i1,519.169,920.0,516.22,719.0
TRINITY_DN41_c0_g2_i1,207.161,386.0,219.2,321.0
TRINITY_DN37_c0_g1_i2,435.561,1372.16,444.33,1099.35
TRINITY_DN37_c0_g1_i1,122.03,379.837,123.8,302.65
TRINITY_DN5_c0_g1_i1,112.888,194.0,116.23,157.0
TRINITY_DN5_c0_g2_i1,95.2417,114.0,91.33,86.0
TRINITY_DN5_c1_g1_i1,110.858,361.0,113.79,291.0
TRINITY_DN5_c2_g1_i1,740.992,956.0,758.81,770.0
TRINITY_DN71_c0_g1_i1,181.929,199.0,183.57,158.0
TRINITY_DN71_c0_g2_i1,145.054,166.0,149.94,135.0
TRINITY_DN29_c0_g1_i1,311.699,353.0,309.75,276.0
TRINITY_DN46_c0_g1_i1,232.817,971.0,235.44,771.0
TRINITY_DN80_c0_g1_i1,70.0992,96.0,74.28,80.0
TRINITY_DN90_c0_g1_i1,1674.15,1559.0,1647.73,1208.0
TRINITY_DN9_c0_g1_i1,737.5319999999998,591.0,754.1,476.0
TRINITY_DN12_c0_g1_i2,318.568,638.754,309.94,488.35
TRINITY_DN12_c0_g1_i5,467.852,948.75,413.35,658.69
TRINITY_DN12_c0_g1_i7,737.7710000000002,1496.11,705.55,1124.32
TRINITY_DN12_c0_g1_i4,531.342,1065.38,554.46,873.64
TRINITY_DN65_c0_g1_i1,54.3904,38.1371,29.08,16.07
TRINITY_DN65_c0_g1_i2,85.0342,165.863,84.11,128.93
TRINITY_DN65_c0_g2_i1,136.94799999999998,91.0,137.44,72.0
TRINITY_DN65_c0_g3_i1,287.54,562.0,293.63,451.0
TRINITY_DN65_c0_g4_i3,106.328,355.0,106.79,280.0
TRINITY_DN65_c0_g4_i1,362.479,1198.0,360.23,935.0
TRINITY_DN65_c0_g5_i1,371.651,415.0,371.04,326.0
TRINITY_DN65_c1_g1_i1,212.326,571.0,204.98,433.0
TRINITY_DN65_c1_g2_i1,198.061,230.0,199.21,182.0
TRINITY_DN65_c2_g1_i1,171.27900000000002,106.0,184.4,90.0
TRINITY_DN65_c2_g2_i1,83.4052,211.397,79.09,157.47
TRINITY_DN65_c2_g2_i2,70.5078,173.60299999999995,67.48,130.53
TRINITY_DN65_c2_g3_i1,101.599,528.0,100.25,409.0
TRINITY_DN65_c3_g1_i1,222.954,348.0,216.77,266.0
TRINITY_DN65_c4_g1_i1,75.1702,82.0,75.72,65.0
TRINITY_DN68_c0_g1_i1,205.674,216.0,204.48,169.0
TRINITY_DN68_c0_g2_i1,195.107,202.0,195.14,159.0
TRINITY_DN92_c0_g1_i1,169.237,168.0,162.54,127.0
TRINITY_DN58_c0_g1_i3,754.584,1211.47,765.74,966.47
TRINITY_DN58_c0_g1_i2,272.81,438.531,275.8,348.53
TRINITY_DN6_c0_g1_i1,734.924,1091.0,742.79,867.0
TRINITY_DN11_c0_g1_i1,685.13,1102.0,680.92,861.0
TRINITY_DN7_c0_g1_i1,294.391,658.0,295.54,519.0
TRINITY_DN7_c0_g2_i1,538.2919999999998,2039.0,537.59,1599.0
TRINITY_DN7_c1_g1_i1,98.7255,140.0,100.44,112.0
TRINITY_DN7_c1_g2_i1,77.6165,132.0,83.03,111.0
TRINITY_DN53_c0_g1_i1,222.69,144.0,229.47,117.0
TRINITY_DN84_c0_g1_i1,175.91099999999997,213.0,165.88,158.0
TRINITY_DN82_c0_g1_i1,507.358,1060.05,519.38,852.7
TRINITY_DN82_c0_g1_i2,159.084,348.94699999999995,168.44,290.3
TRINITY_DN23_c0_g1_i2,78.5599,319.233,76.55,244.24
TRINITY_DN23_c0_g1_i1,43.6987,120.767,44.11,95.76
TRINITY_DN23_c0_g2_i1,348.73,1063.0,355.47,851.0
TRINITY_DN23_c0_g3_i1,401.33,669.0,394.55,517.0
TRINITY_DN23_c1_g1_i1,112.02,47.0,111.54,37.0
TRINITY_DN99_c0_g1_i1,264.07,154.0,284.74,131.0
TRINITY_DN99_c0_g2_i1,295.811,230.0,311.81,191.0
TRINITY_DN27_c0_g1_i1,206.816,468.0,209.8,373.0
TRINITY_DN79_c0_g1_i3,145.27200000000005,188.0,155.23,158.0
TRINITY_DN91_c0_g1_i1,165.389,165.0,161.73,127.0
TRINITY_DN64_c0_g1_i1,167.407,294.0,166.62,230.0
TRINITY_DN64_c0_g2_i1,121.483,206.0,123.04,164.0
TRINITY_DN3_c0_g1_i1,1056.07,1751.0,1038.85,1354.0
TRINITY_DN13_c0_g1_i4,60.0556,25.0784,42.67,14.09
TRINITY_DN13_c0_g1_i1,322.028,521.16,329.05,418.63
TRINITY_DN13_c0_g1_i2,81.0077,130.137,89.14,112.57
TRINITY_DN13_c0_g1_i3,129.906,173.396,125.58,131.83
TRINITY_DN13_c0_g1_i7,114.337,184.246,110.6,140.11
TRINITY_DN13_c0_g1_i5,43.5447,41.5858,84.02,63.16
TRINITY_DN13_c0_g1_i10,85.8946,114.225,111.36,116.47
TRINITY_DN78_c0_g1_i2,91.6306,278.218,70.62,168.41
TRINITY_DN78_c0_g1_i1,156.31,706.7819999999998,156.5,555.59
TRINITY_DN22_c0_g1_i1,341.427,365.0,338.78,285.0
TRINITY_DN22_c0_g2_i1,173.622,710.0,170.98,549.0
TRINITY_DN22_c1_g1_i1,90.7749,74.0,98.11,63.0
TRINITY_DN22_c1_g2_i2,124.936,833.0,125.73,658.0
TRINITY_DN22_c1_g3_i2,61.6483,199.531,86.3,219.36
TRINITY_DN22_c1_g3_i3,140.686,245.258,141.88,194.41
TRINITY_DN22_c1_g3_i1,33.9373,101.16,7.32,17.14
TRINITY_DN22_c1_g3_i4,51.1802,64.0515,52.92,52.09
TRINITY_DN22_c1_g4_i1,340.446,819.0,311.65,589.0
TRINITY_DN22_c1_g5_i1,211.96400000000003,491.0,203.86,371.0
TRINITY_DN22_c1_g6_i1,45.1453,24.0,45.28,19.0
TRINITY_DN22_c1_g7_i1,114.274,45.0,122.0,38.0
TRINITY_DN22_c1_g8_i1,119.706,78.0,120.68,62.0
TRINITY_DN22_c2_g1_i1,519.511,900.0,503.04,685.0
TRINITY_DN18_c0_g1_i1,742.3330000000002,349.0,756.63,281.0
TRINITY_DN40_c0_g1_i1,272.34,2482.0,270.39,1934.0
TRINITY_DN76_c0_g1_i1,201.932,326.0,201.71,256.0
TRINITY_DN59_c0_g1_i2,118.206,240.528,128.26,205.09
TRINITY_DN59_c0_g1_i1,23.4406,26.8951,18.69,16.88
TRINITY_DN59_c0_g1_i3,7.9420899999999985,9.5772,10.58,10.04
TRINITY_DN69_c0_g1_i1,183.998,310.0,185.75,246.0
TRINITY_DN39_c0_g1_i1,135.871,95.0,127.02,70.0
TRINITY_DN51_c0_g1_i1,242.045,547.0,241.05,428.0
TRINITY_DN56_c0_g1_i1,268.589,648.0,265.91,504.0
TRINITY_DN4_c0_g1_i1,58.8617,31.0,48.11,20.0
TRINITY_DN4_c1_g1_i1,1237.67,3823.0,1239.52,3007.0
TRINITY_DN35_c0_g1_i2,184.507,261.645,188.79,210.52
TRINITY_DN35_c0_g1_i1,34.8288,49.3897,33.76,37.65
TRINITY_DN35_c0_g1_i3,69.7887,98.9655,64.42,71.83
TRINITY_DN21_c0_g1_i24,3.72503e-09,1.32827e-08,0.0,0.0
TRINITY_DN21_c0_g1_i8,257.516,523.746,272.4,435.35
TRINITY_DN21_c0_g1_i13,1759.08,3588.15,1723.38,2762.36
TRINITY_DN21_c0_g1_i1,409.316,1450.2,342.08,951.75
TRINITY_DN21_c0_g1_i22,0.0,0.0,0.0,0.0
TRINITY_DN21_c0_g1_i3,193.038,390.502,180.56,287.03
TRINITY_DN21_c0_g1_i9,71.9601,232.121,40.03,101.4
TRINITY_DN21_c0_g1_i17,260.011,927.148,412.46,1154.95
TRINITY_DN21_c0_g1_i11,0.0,0.0,0.0,0.0
TRINITY_DN21_c0_g1_i23,631.988,2004.76,261.8,652.22
TRINITY_DN21_c0_g1_i6,718.877,2469.28,1032.78,2785.86
TRINITY_DN85_c0_g1_i1,127.134,458.0,127.61,361.0
TRINITY_DN54_c0_g1_i7,1.53454e-07,5.179719999999999e-07,0.0,0.0
TRINITY_DN54_c0_g1_i5,2.2883400000000003,7.7309199999999985,5.71,15.14
TRINITY_DN54_c0_g1_i4,5.04312,16.8976,9.76,25.68
TRINITY_DN54_c0_g1_i3,2.96348e-07,9.92072e-07,0.0,0.0
TRINITY_DN54_c0_g1_i1,41.7348,140.873,45.04,119.38
TRINITY_DN54_c0_g1_i6,93.3227,312.4120000000001,81.91,215.35
TRINITY_DN54_c0_g1_i2,70.1774,237.087,60.85,161.45
TRINITY_DN86_c0_g1_i1,255.336,594.0,257.15,470.0
TRINITY_DN93_c0_g1_i1,99.2372,130.0,102.88,106.0
TRINITY_DN77_c0_g1_i1,1176.33,721.0,1232.91,596.0
TRINITY_DN31_c0_g1_i1,39.0867,187.395,15.24,57.35
TRINITY_DN31_c0_g1_i3,40.3999,165.97,132.63,427.84
TRINITY_DN31_c0_g1_i2,212.272,88.2209,593.56,195.04
TRINITY_DN31_c0_g1_i5,153.658,725.414,97.07,359.77
TRINITY_DN20_c0_g1_i1,471.235,579.0,464.56,449.0
TRINITY_DN20_c1_g1_i1,114.714,148.0,101.5,103.0
TRINITY_DN0_c0_g1_i7,2237.01,11587.9,2162.68,8794.8
TRINITY_DN0_c0_g1_i6,1074.42,5196.96,1220.68,4635.48
TRINITY_DN0_c0_g1_i3,3868.33,19727.5,3709.28,14850.51
TRINITY_DN0_c0_g1_i8,155.968,795.3960000000002,207.38,830.25
TRINITY_DN0_c0_g1_i11,121.396,134.472,68.92,60.07
TRINITY_DN0_c0_g1_i10,0.0,0.0,0.0,0.0
TRINITY_DN0_c0_g1_i12,855.053,4174.03,918.62,3520.59
TRINITY_DN0_c0_g1_i15,187.767,697.84,137.83,402.25
TRINITY_DN0_c0_g1_i9,0.0,0.0,0.0,0.0
TRINITY_DN0_c0_g1_i5,322.592,1198.92,334.34,975.74
TRINITY_DN17_c0_g1_i1,379.985,1604.0,384.69,1275.0
TRINITY_DN83_c0_g1_i1,76.063,298.0,75.09,231.0
TRINITY_DN83_c0_g2_i1,70.1168,183.0,71.7,147.0
TRINITY_DN87_c0_g1_i2,92.4656,155.42,102.35,135.22
TRINITY_DN87_c0_g1_i1,5283.73,8943.97,5334.99,7098.7
TRINITY_DN87_c0_g2_i1,252.444,426.57,265.79,353.04
TRINITY_DN49_c0_g1_i1,292.7290000000001,335.0,297.65,268.0
TRINITY_DN89_c0_g1_i1,149.161,146.0,144.07,111.0
TRINITY_DN164_c0_g1_i1,130.273,189.0,133.24,152.0
TRINITY_DN103_c0_g1_i1,167.571,62.0,167.34,49.0
TRINITY_DN106_c0_g1_i1,158.905,136.0,160.24,108.0
TRINITY_DN141_c0_g1_i1,117.627,300.0,117.79,236.0
TRINITY_DN150_c0_g1_i1,122.218,227.0,118.51,173.0
TRINITY_DN161_c0_g1_i1,66.2711,97.0,70.38,81.0
TRINITY_DN135_c0_g1_i1,163.47299999999996,503.0,161.8,391.0
TRINITY_DN121_c0_g1_i2,172.02700000000004,107.486,180.04,88.72
TRINITY_DN121_c0_g1_i1,151.265,94.5138,169.02,83.28
TRINITY_DN171_c0_g1_i1,72.2283,50.0,73.31,40.0
TRINITY_DN119_c0_g1_i1,190.878,198.0,195.99,160.0
TRINITY_DN158_c0_g1_i1,110.813,140.0,101.64,101.0
TRINITY_DN143_c0_g1_i1,133.871,64.0,124.47,47.0
TRINITY_DN143_c1_g1_i1,106.386,67.0,88.6,44.0
TRINITY_DN128_c0_g1_i1,63.1099,94.0,73.43,86.0
TRINITY_DN120_c0_g1_i1,85.4625,53.1447,80.86,39.65
TRINITY_DN120_c0_g1_i4,113.916,71.8553,115.29,57.35
TRINITY_DN112_c0_g1_i1,111.771,180.0,114.53,145.0
TRINITY_DN112_c1_g1_i1,105.812,149.0,101.14,112.0
TRINITY_DN160_c0_g1_i1,127.169,113.0,127.2,89.0
TRINITY_DN160_c0_g2_i1,79.1959,71.0,76.5,54.0
TRINITY_DN174_c0_g1_i1,221.553,105.04,197.68,74.03
TRINITY_DN109_c0_g1_i1,188.604,490.0,178.85,365.0
TRINITY_DN140_c0_g1_i1,58.5255,117.0,54.74,86.0
TRINITY_DN140_c0_g1_i2,133.2,51.0,132.05,40.0
TRINITY_DN196_c0_g1_i4,19.7506,25.1681,38.06,38.15
TRINITY_DN196_c0_g1_i3,20.9165,26.6539,0.05,0.05
TRINITY_DN196_c0_g1_i2,39.0625,38.8158,50.65,39.61
TRINITY_DN196_c0_g1_i1,36.5933,36.3622,10.46,8.18
TRINITY_DN151_c0_g1_i1,131.325,271.0,136.91,222.0
TRINITY_DN184_c0_g1_i2,119.456,72.0329,116.32,55.33
TRINITY_DN184_c0_g1_i1,123.171,97.9671,108.01,67.67
TRINITY_DN184_c0_g2_i1,496.296,285.0,483.37,219.0
TRINITY_DN184_c0_g3_i1,173.37599999999995,103.0,179.25,84.0
TRINITY_DN149_c0_g1_i4,21.7816,25.942,20.5,19.21
TRINITY_DN149_c0_g1_i1,50.6982,59.7786,49.7,46.1
TRINITY_DN149_c0_g1_i2,33.1621,39.6936,38.14,35.92
TRINITY_DN149_c0_g1_i3,73.9086,87.5858,73.77,68.77
TRINITY_DN136_c0_g1_i1,95.1063,184.0,92.74,141.0
TRINITY_DN175_c0_g1_i1,140.826,71.6535,142.5,57.24
TRINITY_DN175_c0_g1_i2,114.672,58.3465,111.41,44.76
TRINITY_DN172_c0_g1_i1,105.894,48.0,72.59,26.0
TRINITY_DN172_c0_g2_i1,47.6161,23.0,44.56,17.0
TRINITY_DN188_c0_g1_i1,77.0648,175.0,81.27,145.0
TRINITY_DN147_c0_g1_i1,80.2225,114.0,79.65,89.0
TRINITY_DN113_c0_g1_i2,441.9380000000001,624.51,444.4,493.82
TRINITY_DN113_c0_g1_i3,55.7766,78.321,50.5,55.76
TRINITY_DN113_c0_g1_i1,2.5182900000000004,3.53616,2.54,2.8
TRINITY_DN113_c0_g1_i4,265.409,381.633,281.79,318.61
TRINITY_DN101_c0_g1_i1,138.613,200.0,148.08,168.0
TRINITY_DN195_c0_g1_i4,25.5774,22.1189,23.57,16.05
TRINITY_DN195_c0_g1_i1,80.8071,69.8805,82.48,56.17
TRINITY_DN195_c0_g1_i3,146.01,132.637,138.38,98.98
TRINITY_DN195_c0_g1_i2,57.6432,52.3637,50.06,35.8
TRINITY_DN157_c0_g1_i1,143.899,135.0,135.4,100.0
TRINITY_DN133_c0_g1_i1,126.386,336.0,124.02,259.0
TRINITY_DN155_c0_g1_i1,153.343,158.0,155.38,126.0
TRINITY_DN110_c0_g1_i1,83.5341,43.0,86.12,35.0
TRINITY_DN183_c0_g1_i1,63.1616,87.0,63.7,69.0
TRINITY_DN183_c0_g2_i1,58.6015,77.0,62.9,65.0
TRINITY_DN183_c1_g1_i1,303.9290000000001,830.0,289.96,622.0
TRINITY_DN166_c0_g1_i1,65.3481,132.0,64.26,102.0
TRINITY_DN166_c1_g1_i1,64.1556,78.0,61.69,59.0
TRINITY_DN148_c0_g1_i1,114.026,353.0,114.34,278.0
TRINITY_DN153_c0_g1_i1,96.3609,84.0,93.23,64.0
TRINITY_DN162_c0_g1_i1,162.102,59.1727,166.6,48.13
TRINITY_DN105_c0_g1_i1,99.6315,377.0,100.29,298.0
TRINITY_DN178_c0_g1_i1,391.298,241.0,391.15,190.0
TRINITY_DN125_c0_g1_i1,109.138,146.0,110.26,116.0
TRINITY_DN137_c0_g1_i1,108.451,201.0,103.66,151.0
TRINITY_DN122_c0_g1_i2,40.0839,23.2965,41.42,18.99
TRINITY_DN122_c0_g1_i1,36.8259,23.7035,41.44,21.03
TRINITY_DN122_c0_g2_i1,68.7401,30.0,78.2,26.97
TRINITY_DN122_c1_g1_i1,118.152,60.0,99.76,40.0
TRINITY_DN145_c0_g1_i1,207.899,301.0,207.3,236.0
TRINITY_DN145_c0_g2_i1,253.421,385.0,248.65,297.0
TRINITY_DN169_c0_g1_i5,172.407,215.424,177.65,174.6
TRINITY_DN169_c0_g1_i4,98.8435,125.172,87.95,87.61
TRINITY_DN169_c0_g1_i1,4.7845900000000015,5.9783800000000005,13.73,13.5
TRINITY_DN169_c0_g2_i1,138.028,173.425,135.88,134.29
TRINITY_DN194_c0_g1_i4,267.062,420.55300000000005,263.27,325.93
TRINITY_DN194_c0_g1_i1,259.048,408.447,268.69,333.07
TRINITY_DN194_c0_g2_i1,55.6246,47.0,48.09,32.0
TRINITY_DN159_c0_g1_i1,133.819,224.0,133.0,175.0
TRINITY_DN100_c0_g1_i1,129.52100000000002,580.0,132.26,465.0
TRINITY_DN100_c0_g2_i1,166.625,383.0,164.46,297.0
TRINITY_DN132_c0_g1_i1,88.2447,145.0,96.0,124.0
TRINITY_DN127_c0_g1_i1,124.298,142.0,121.27,109.0
TRINITY_DN186_c0_g1_i1,69.7014,60.0,56.06,38.0
TRINITY_DN186_c0_g2_i1,212.901,931.0,210.0,721.0
TRINITY_DN186_c0_g3_i1,736.329,931.0,746.09,742.0
TRINITY_DN186_c1_g1_i1,112.892,208.0,114.64,166.0
TRINITY_DN186_c1_g2_i1,86.5458,135.0,83.99,103.0
TRINITY_DN179_c0_g1_i2,151.773,70.0,150.94,55.0
TRINITY_DN179_c0_g1_i1,142.967,58.0,137.15,44.0
TRINITY_DN146_c0_g1_i1,107.193,495.0,100.4,364.0
TRINITY_DN134_c0_g1_i1,113.273,71.0,125.43,62.0
TRINITY_DN102_c0_g1_i1,193.969,979.0,190.29,754.0
TRINITY_DN191_c0_g1_i1,89.4535,56.5135,86.9,43.29
TRINITY_DN191_c0_g1_i2,105.239,66.4865,99.78,49.71
TRINITY_DN115_c0_g1_i1,137.506,147.0,135.51,114.0
TRINITY_DN199_c0_g1_i1,100.43,194.0,101.44,154.0
TRINITY_DN187_c0_g1_i1,116.425,44.0,113.7,34.0
TRINITY_DN129_c0_g1_i1,77.8883,113.0,75.39,86.0
TRINITY_DN129_c0_g2_i1,91.4675,160.0,89.46,123.0
TRINITY_DN193_c0_g1_i1,167.206,956.0,168.44,756.0
TRINITY_DN124_c0_g1_i1,133.976,241.0,139.34,197.0
TRINITY_DN197_c0_g1_i1,106.017,90.0,104.7,70.0
TRINITY_DN197_c0_g2_i1,64.3769,200.0,67.21,164.0
TRINITY_DN123_c0_g1_i1,209.519,278.0,209.86,219.0
TRINITY_DN123_c0_g2_i1,240.787,298.0,227.01,221.0
TRINITY_DN130_c0_g1_i1,100.769,263.0,100.97,207.0
TRINITY_DN144_c0_g1_i1,121.884,766.0,119.8,591.0
TRINITY_DN198_c0_g1_i1,90.5695,75.0,93.53,61.0
TRINITY_DN190_c0_g1_i1,67.0063,42.0,72.83,36.0
TRINITY_DN108_c0_g1_i1,165.53599999999997,218.0,152.55,158.0
TRINITY_DN108_c0_g2_i1,115.029,51.0,114.16,40.0
TRINITY_DN108_c1_g1_i1,104.72,162.0,107.71,131.0
TRINITY_DN192_c0_g1_i1,1547.94,2499.0,1541.99,1957.0
TRINITY_DN114_c0_g1_i1,141.34799999999996,416.0,138.87,321.0
TRINITY_DN111_c0_g1_i1,106.516,231.0,103.87,177.0
TRINITY_DN139_c0_g1_i1,202.487,354.0,201.58,277.0
TRINITY_DN173_c0_g1_i1,100.252,86.0,99.18,67.0
TRINITY_DN173_c0_g2_i1,246.1,226.0,257.26,186.0
TRINITY_DN163_c0_g1_i1,253.584,429.0,241.39,321.0
TRINITY_DN180_c0_g1_i1,123.213,71.0,123.18,56.0
TRINITY_DN168_c0_g1_i1,88.0375,154.0,91.64,126.0
TRINITY_DN107_c0_g1_i1,168.24,155.0,165.44,120.0
TRINITY_DN117_c0_g1_i1,117.0,612.914,111.93,460.32
TRINITY_DN117_c0_g1_i2,240.159,1258.09,246.24,1012.68
TRINITY_DN131_c0_g1_i1,65.4003,36.0,62.15,27.0
TRINITY_DN131_c0_g2_i4,97.4871,95.8081,112.4,86.95
TRINITY_DN131_c0_g2_i3,150.102,156.0,154.05,126.0
TRINITY_DN131_c0_g2_i2,0.0,0.0,0.0,0.0
TRINITY_DN131_c0_g2_i1,186.211,965.692,188.31,766.69
