transcript_id	gene_id	length	effective_length	expected_count	TPM	FPKM	IsoPct
TRINITY_DN100_c0_g2_i1	TRINITY_DN100_c0_g2_i1	2499	2321.39	297.00	164.46	109.63	100.00
TRINITY_DN1010_c0_g1_i1	TRINITY_DN1010_c0_g1_i1	2069	1891.39	77.00	52.33	34.88	100.00
TRINITY_DN1011_c0_g1_i1	TRINITY_DN1011_c0_g1_i1	1135	957.39	123.00	165.15	110.08	100.00
TRINITY_DN1012_c0_g1_i1	TRINITY_DN1012_c0_g1_i1	1276	1098.39	179.00	209.48	139.64	100.00
TRINITY_DN1013_c0_g1_i1	TRINITY_DN1013_c0_g1_i1	1938	1760.39	88.00	64.26	42.83	100.00
TRINITY_DN1014_c0_g1_i1	TRINITY_DN1014_c0_g1_i1	2153	1975.39	298.00	193.92	129.26	100.00
TRINITY_DN1015_c0_g1_i1	TRINITY_DN1015_c0_g1_i1	1062	884.39	57.00	82.85	55.23	100.00
TRINITY_DN1016_c0_g1_i1	TRINITY_DN1016_c0_g1_i1	1863	1685.39	121.00	92.29	61.52	100.00
TRINITY_DN1017_c0_g1_i1	TRINITY_DN1017_c0_g1_i1	1237	1059.39	452.00	548.44	365.59	100.00
TRINITY_DN1018_c0_g1_i1	TRINITY_DN1018_c0_g1_i1	1155	977.39	69.00	90.75	60.49	100.00
TRINITY_DN1019_c0_g1_i1	TRINITY_DN1019_c0_g1_i1	1481	1303.39	108.00	106.51	71.00	100.00
TRINITY_DN101_c0_g1_i1	TRINITY_DN101_c0_g1_i1	1636	1458.39	168.00	148.08	98.71	100.00
TRINITY_DN1020_c0_g1_i1	TRINITY_DN1020_c0_g1_i1	2565	2387.39	472.00	254.14	169.41	100.00
TRINITY_DN1021_c0_g1_i1	TRINITY_DN1021_c0_g1_i1	1217	1039.39	133.00	164.48	109.64	100.00
TRINITY_DN1022_c0_g1_i1	TRINITY_DN1022_c0_g1_i1	1234	1056.39	140.00	170.35	113.56	100.00
TRINITY_DN1023_c0_g1_i1	TRINITY_DN1023_c0_g1_i1	2035	1857.39	141.00	97.58	65.05	100.00
TRINITY_DN1024_c0_g1_i1	TRINITY_DN1024_c0_g1_i1	1117	939.39	287.00	392.72	261.79	100.00
TRINITY_DN1025_c0_g1_i1	TRINITY_DN1025_c0_g1_i1	1002	824.39	92.00	143.45	95.62	100.00
TRINITY_DN1026_c0_g1_i1	TRINITY_DN1026_c0_g1_i1	2187	2009.39	135.00	86.36	57.57	100.00
TRINITY_DN1027_c0_g1_i1	TRINITY_DN1027_c0_g1_i1	1508	1330.39	149.00	143.97	95.97	100.00
TRINITY_DN1028_c0_g1_i1	TRINITY_DN1028_c0_g1_i1	1141	963.39	776.00	1035.40	690.19	100.00
TRINITY_DN1029_c0_g1_i1	TRINITY_DN1029_c0_g1_i1	662	484.39	61.00	161.88	107.91	100.00
TRINITY_DN102_c0_g1_i1	TRINITY_DN102_c0_g1_i1	5271	5093.39	754.00	190.29	126.85	100.00
TRINITY_DN1030_c0_g1_i1	TRINITY_DN1030_c0_g1_i1	1386	1208.39	95.00	101.06	67.36	100.00
TRINITY_DN1031_c0_g1_i1	TRINITY_DN1031_c0_g1_i1	1440	1262.39	75.00	76.37	50.91	100.00
TRINITY_DN1032_c0_g1_i1	TRINITY_DN1032_c0_g1_i1	1355	1177.39	72.00	78.61	52.40	100.00
TRINITY_DN1033_c0_g1_i1	TRINITY_DN1033_c0_g1_i1	1047	869.39	229.00	338.59	225.70	100.00
TRINITY_DN1034_c0_g1_i1	TRINITY_DN1034_c0_g1_i1	1212	1034.39	42.00	52.19	34.79	100.00
TRINITY_DN1035_c0_g1_i1	TRINITY_DN1035_c0_g1_i1	965	787.39	31.00	50.61	33.74	100.00
TRINITY_DN1036_c0_g1_i1	TRINITY_DN1036_c0_g1_i1	1142	964.39	68.00	90.64	60.42	100.00
TRINITY_DN1037_c0_g1_i1	TRINITY_DN1037_c0_g1_i1	684	506.39	194.00	492.45	328.27	100.00
TRINITY_DN1038_c0_g1_i1	TRINITY_DN1038_c0_g1_i1	1269	1091.39	341.00	401.63	267.72	100.00
TRINITY_DN1039_c0_g1_i1	TRINITY_DN1039_c0_g1_i1	1123	945.39	103.00	140.05	93.35	100.00
TRINITY_DN103_c0_g1_i1	TRINITY_DN103_c0_g1_i1	554	376.39	49.00	167.34	111.55	100.00
TRINITY_DN1040_c0_g1_i1	TRINITY_DN1040_c0_g1_i1	1348	1170.39	149.00	163.65	109.09	100.00
TRINITY_DN1041_c0_g1_i1	TRINITY_DN1041_c0_g1_i1	741	563.39	87.00	198.50	132.32	100.00
TRINITY_DN1042_c0_g1_i1	TRINITY_DN1042_c0_g1_i1	967	789.39	33.00	53.74	35.82	100.00
TRINITY_DN1043_c0_g1_i1	TRINITY_DN1043_c0_g1_i1	1087	909.39	31.00	43.82	29.21	100.00
TRINITY_DN1044_c0_g1_i1	TRINITY_DN1044_c0_g1_i1	1239	1061.39	50.00	60.55	40.37	100.00
TRINITY_DN1045_c0_g1_i1	TRINITY_DN1045_c0_g1_i1	529	351.39	21.00	76.82	51.21	100.00
TRINITY_DN1046_c0_g1_i1	TRINITY_DN1046_c0_g1_i1	841	663.39	107.00	207.33	138.21	100.00
TRINITY_DN1047_c0_g1_i1	TRINITY_DN1047_c0_g1_i1	1954	1776.39	177.00	128.08	85.38	100.00
TRINITY_DN1048_c0_g1_i1	TRINITY_DN1048_c0_g1_i1	677	499.39	27.00	69.50	46.33	100.00
TRINITY_DN1049_c0_g1_i1	TRINITY_DN1049_c0_g1_i1	809	631.39	91.00	185.26	123.50	100.00
TRINITY_DN104_c0_g1_i1	TRINITY_DN104_c0_g1_i1	2360	2182.39	162.00	95.42	63.61	100.00
TRINITY_DN1050_c0_g1_i1	TRINITY_DN1050_c0_g1_i1	1151	973.39	36.00	47.54	31.69	100.00
TRINITY_DN1051_c0_g1_i1	TRINITY_DN1051_c0_g1_i1	646	468.39	64.00	175.64	117.08	100.00
TRINITY_DN1052_c0_g1_i1	TRINITY_DN1052_c0_g1_i1	849	671.39	42.00	80.41	53.60	100.00
TRINITY_DN1053_c0_g1_i1	TRINITY_DN1053_c0_g1_i1	902	724.39	62.00	110.02	73.34	100.00
TRINITY_DN1054_c0_g1_i1	TRINITY_DN1054_c0_g1_i1	794	616.39	40.00	83.42	55.61	100.00
TRINITY_DN1055_c0_g1_i1	TRINITY_DN1055_c0_g1_i1	1066	888.39	191.00	276.36	184.22	100.00
TRINITY_DN1056_c0_g1_i1	TRINITY_DN1056_c0_g1_i1	1229	1051.39	127.00	155.27	103.50	100.00
TRINITY_DN1057_c0_g1_i1	TRINITY_DN1057_c0_g1_i1	920	742.39	102.00	176.61	117.73	100.00
TRINITY_DN1058_c0_g1_i1	TRINITY_DN1058_c0_g1_i1	1169	991.39	270.00	350.08	233.36	100.00
TRINITY_DN1059_c0_g1_i1	TRINITY_DN1059_c0_g1_i1	712	534.39	45.00	108.24	72.15	100.00
TRINITY_DN105_c0_g1_i1	TRINITY_DN105_c0_g1_i1	3997	3819.39	298.00	100.29	66.86	100.00
TRINITY_DN1060_c0_g1_i1	TRINITY_DN1060_c0_g1_i1	1766	1588.39	128.00	103.59	69.05	100.00
TRINITY_DN1061_c0_g1_i1	TRINITY_DN1061_c0_g1_i1	847	669.39	31.00	59.53	39.68	100.00
TRINITY_DN1062_c0_g1_i1	TRINITY_DN1062_c0_g1_i1	553	375.39	48.00	164.36	109.56	100.00
TRINITY_DN1063_c0_g1_i1	TRINITY_DN1063_c0_g1_i1	1120	942.39	55.00	75.02	50.01	100.00
TRINITY_DN1064_c0_g1_i1	TRINITY_DN1064_c0_g1_i1	1970	1792.39	151.00	108.29	72.19	100.00
TRINITY_DN1065_c0_g1_i1	TRINITY_DN1065_c0_g1_i1	1216	1038.39	585.00	724.18	482.73	100.00
TRINITY_DN1066_c0_g1_i1	TRINITY_DN1066_c0_g1_i1	1095	917.39	66.00	92.48	61.65	100.00
TRINITY_DN1067_c0_g1_i1	TRINITY_DN1067_c0_g1_i1	861	683.39	24.00	45.14	30.09	100.00
TRINITY_DN1068_c0_g1_i1	TRINITY_DN1068_c0_g1_i1	1112	934.39	63.00	86.67	57.77	100.00
TRINITY_DN1069_c0_g1_i1	TRINITY_DN1069_c0_g1_i1	822	644.39	31.00	61.84	41.22	100.00
TRINITY_DN106_c0_g1_i1	TRINITY_DN106_c0_g1_i1	1044	866.39	108.00	160.24	106.81	100.00
TRINITY_DN1070_c0_g1_i1	TRINITY_DN1070_c0_g1_i1	901	723.39	35.00	62.19	41.46	100.00
TRINITY_DN1071_c0_g1_i1	TRINITY_DN1071_c0_g1_i1	615	437.39	32.00	94.04	62.69	100.00
TRINITY_DN1072_c0_g1_i1	TRINITY_DN1072_c0_g1_i1	1191	1013.39	126.00	159.82	106.54	100.00
TRINITY_DN1073_c0_g1_i1	TRINITY_DN1073_c0_g1_i1	2005	1827.39	94.00	66.12	44.08	100.00
TRINITY_DN1074_c0_g1_i1	TRINITY_DN1074_c0_g1_i1	754	576.39	28.00	62.44	41.62	100.00
TRINITY_DN1075_c0_g1_i1	TRINITY_DN1075_c0_g1_i1	924	746.39	39.00	67.17	44.77	100.00
TRINITY_DN1076_c0_g1_i1	TRINITY_DN1076_c0_g1_i1	1295	1117.39	51.00	58.67	39.11	100.00
TRINITY_DN1077_c0_g1_i1	TRINITY_DN1077_c0_g1_i1	539	361.39	18.00	64.02	42.68	100.00
TRINITY_DN1078_c0_g1_i1	TRINITY_DN1078_c0_g1_i1	1076	898.39	159.00	227.50	151.65	100.00
TRINITY_DN1079_c0_g1_i1	TRINITY_DN1079_c0_g1_i1	1599	1421.39	925.00	836.52	557.62	100.00
TRINITY_DN107_c0_g1_i1	TRINITY_DN107_c0_g1_i1	1110	932.39	120.00	165.44	110.28	100.00
TRINITY_DN1080_c0_g1_i1	TRINITY_DN1080_c0_g1_i1	1390	1212.39	173.00	183.42	122.27	100.00
TRINITY_DN1081_c0_g1_i1	TRINITY_DN1081_c0_g1_i1	1334	1156.39	67.00	74.48	49.65	100.00
TRINITY_DN1082_c0_g1_i1	TRINITY_DN1082_c0_g1_i1	1272	1094.39	81.00	95.14	63.42	100.00
TRINITY_DN1083_c0_g1_i1	TRINITY_DN1083_c0_g1_i1	710	532.39	44.00	106.24	70.82	100.00
TRINITY_DN1084_c0_g1_i1	TRINITY_DN1084_c0_g1_i1	730	552.39	14.00	32.58	21.72	100.00
TRINITY_DN1085_c0_g1_i1	TRINITY_DN1085_c0_g1_i1	659	481.39	25.00	66.76	44.50	100.00
TRINITY_DN1086_c0_g1_i1	TRINITY_DN1086_c0_g1_i1	1634	1456.39	64.00	56.49	37.65	100.00
TRINITY_DN1087_c0_g1_i1	TRINITY_DN1087_c0_g1_i1	518	340.39	23.00	86.86	57.90	100.00
TRINITY_DN1088_c0_g1_i1	TRINITY_DN1088_c0_g1_i1	810	632.39	68.00	138.22	92.14	100.00
TRINITY_DN1089_c0_g1_i1	TRINITY_DN1089_c0_g1_i1	1715	1537.39	138.00	115.38	76.91	100.00
TRINITY_DN108_c0_g1_i1	TRINITY_DN108_c0_g1_i1	1509	1331.39	158.00	152.55	101.69	100.00
TRINITY_DN108_c0_g2_i1	TRINITY_DN108_c0_g2_i1	628	450.39	40.00	114.16	76.10	100.00
TRINITY_DN108_c1_g1_i1	TRINITY_DN108_c1_g1_i1	1741	1563.39	131.00	107.71	71.80	100.00
TRINITY_DN1090_c0_g1_i1	TRINITY_DN1090_c0_g1_i1	782	604.39	22.00	46.79	31.19	100.00
TRINITY_DN1091_c0_g1_i1	TRINITY_DN1091_c0_g1_i1	1554	1376.39	505.00	471.63	314.38	100.00
TRINITY_DN1092_c0_g1_i1	TRINITY_DN1092_c0_g1_i1	624	446.39	34.00	97.91	65.26	100.00
TRINITY_DN1093_c0_g1_i1	TRINITY_DN1093_c0_g1_i1	755	577.39	33.00	73.47	48.97	100.00
TRINITY_DN1094_c0_g1_i1	TRINITY_DN1094_c0_g1_i1	1372	1194.39	250.00	269.06	179.35	100.00
TRINITY_DN1095_c0_g1_i1	TRINITY_DN1095_c0_g1_i1	689	511.39	79.00	198.57	132.37	100.00
TRINITY_DN1096_c0_g1_i1	TRINITY_DN1096_c0_g1_i1	823	645.39	24.00	47.80	31.86	100.00
TRINITY_DN1097_c0_g1_i1	TRINITY_DN1097_c0_g1_i1	905	727.39	144.00	254.47	169.63	100.00
TRINITY_DN1098_c0_g1_i1	TRINITY_DN1098_c0_g1_i1	517	339.39	11.00	41.66	27.77	100.00
TRINITY_DN1099_c0_g1_i1	TRINITY_DN1099_c0_g1_i1	641	463.39	24.00	66.58	44.38	100.00
TRINITY_DN109_c0_g1_i1	TRINITY_DN109_c0_g1_i1	2801	2623.39	365.00	178.85	119.22	100.00
TRINITY_DN1100_c0_g1_i1	TRINITY_DN1100_c0_g1_i1	928	750.39	321.00	549.88	366.55	100.00
TRINITY_DN1101_c0_g1_i1	TRINITY_DN1101_c0_g1_i1	1279	1101.39	558.00	651.24	434.11	100.00
TRINITY_DN1102_c0_g1_i1	TRINITY_DN1102_c0_g1_i1	1650	1472.39	187.00	163.26	108.83	100.00
TRINITY_DN1103_c0_g1_i1	TRINITY_DN1103_c0_g1_i1	615	437.39	144.00	423.20	282.10	100.00
TRINITY_DN1104_c0_g1_i1	TRINITY_DN1104_c0_g1_i1	654	476.39	19.00	51.27	34.17	100.00
TRINITY_DN1105_c0_g1_i1	TRINITY_DN1105_c0_g1_i1	758	580.39	85.00	188.26	125.49	100.00
TRINITY_DN1106_c0_g1_i1	TRINITY_DN1106_c0_g1_i1	918	740.39	31.00	53.82	35.88	100.00
TRINITY_DN1107_c0_g1_i1	TRINITY_DN1107_c0_g1_i1	1042	864.39	53.00	78.82	52.54	100.00
TRINITY_DN1108_c0_g1_i1	TRINITY_DN1108_c0_g1_i1	765	587.39	278.00	608.37	405.54	100.00
TRINITY_DN1109_c0_g1_i1	TRINITY_DN1109_c0_g1_i1	2031	1853.39	118.00	81.84	54.55	100.00
TRINITY_DN110_c0_g1_i1	TRINITY_DN110_c0_g1_i1	700	522.39	35.00	86.12	57.41	100.00
TRINITY_DN1110_c0_g1_i1	TRINITY_DN1110_c0_g1_i1	1050	872.39	53.00	78.09	52.06	100.00
TRINITY_DN1111_c0_g1_i1	TRINITY_DN1111_c0_g1_i1	1088	910.39	47.00	66.36	44.24	100.00
TRINITY_DN1112_c0_g1_i1	TRINITY_DN1112_c0_g1_i1	754	576.39	30.00	66.90	44.60	100.00
TRINITY_DN1113_c0_g1_i1	TRINITY_DN1113_c0_g1_i1	648	470.39	81.00	221.35	147.55	100.00
TRINITY_DN1114_c0_g1_i1	TRINITY_DN1114_c0_g1_i1	995	817.39	271.00	426.18	284.09	100.00
TRINITY_DN1115_c0_g1_i1	TRINITY_DN1115_c0_g1_i1	781	603.39	137.00	291.86	194.55	100.00
TRINITY_DN1116_c0_g1_i1	TRINITY_DN1116_c0_g1_i1	717	539.39	43.00	102.47	68.31	100.00
TRINITY_DN1117_c0_g1_i1	TRINITY_DN1117_c0_g1_i1	570	392.39	34.00	111.38	74.25	100.00
TRINITY_DN1118_c0_g1_i1	TRINITY_DN1118_c0_g1_i1	742	564.39	30.00	68.33	45.55	100.00
TRINITY_DN1119_c0_g1_i1	TRINITY_DN1119_c0_g1_i1	959	781.39	36.00	59.22	39.48	100.00
TRINITY_DN111_c0_g1_i1	TRINITY_DN111_c0_g1_i1	2368	2190.39	177.00	103.87	69.24	100.00
TRINITY_DN1120_c0_g1_i1	TRINITY_DN1120_c0_g1_i1	1344	1166.39	183.00	201.68	134.44	100.00
TRINITY_DN1121_c0_g1_i1	TRINITY_DN1121_c0_g1_i1	837	659.39	21.00	40.94	27.29	100.00
TRINITY_DN1122_c0_g1_i1	TRINITY_DN1122_c0_g1_i1	1550	1372.39	176.00	164.85	109.89	100.00
TRINITY_DN1123_c0_g1_i1	TRINITY_DN1123_c0_g1_i1	785	607.39	48.00	101.58	67.71	100.00
TRINITY_DN1124_c0_g1_i1	TRINITY_DN1124_c0_g1_i1	713	535.39	34.00	81.63	54.42	100.00
TRINITY_DN1125_c0_g1_i1	TRINITY_DN1125_c0_g1_i1	744	566.39	55.00	124.82	83.21	100.00
TRINITY_DN1126_c0_g1_i1	TRINITY_DN1126_c0_g1_i1	1180	1002.39	52.00	66.68	44.45	100.00
TRINITY_DN1127_c0_g1_i1	TRINITY_DN1127_c0_g1_i1	773	595.39	26.00	56.13	37.42	100.00
TRINITY_DN1128_c0_g1_i1	TRINITY_DN1128_c0_g1_i1	620	442.39	24.00	69.74	46.49	100.00
TRINITY_DN1129_c0_g1_i1	TRINITY_DN1129_c0_g1_i1	529	351.39	13.00	47.56	31.70	100.00
TRINITY_DN112_c0_g1_i1	TRINITY_DN112_c0_g1_i1	1805	1627.39	145.00	114.53	76.35	100.00
TRINITY_DN112_c1_g1_i1	TRINITY_DN112_c1_g1_i1	1601	1423.39	112.00	101.14	67.42	100.00
TRINITY_DN1130_c0_g1_i1	TRINITY_DN1130_c0_g1_i1	752	574.39	50.00	111.90	74.59	100.00
TRINITY_DN1131_c0_g1_i1	TRINITY_DN1131_c0_g1_i1	669	491.39	241.00	630.43	420.24	100.00
TRINITY_DN1132_c0_g1_i1	TRINITY_DN1132_c0_g1_i1	712	534.39	68.00	163.57	109.03	100.00
TRINITY_DN1133_c0_g1_i1	TRINITY_DN1133_c0_g1_i1	622	444.39	97.00	280.58	187.03	100.00
TRINITY_DN1134_c0_g1_i1	TRINITY_DN1134_c0_g1_i1	718	540.39	34.00	80.88	53.91	100.00
TRINITY_DN1135_c0_g1_i1	TRINITY_DN1135_c0_g1_i1	1306	1128.39	60.00	68.35	45.56	100.00
TRINITY_DN1136_c0_g1_i1	TRINITY_DN1136_c0_g1_i1	1437	1259.39	71.00	72.47	48.31	100.00
TRINITY_DN1137_c0_g1_i1	TRINITY_DN1137_c0_g1_i1	905	727.39	36.00	63.62	42.41	100.00
TRINITY_DN1138_c0_g1_i1	TRINITY_DN1138_c0_g1_i1	660	482.39	47.00	125.24	83.49	100.00
TRINITY_DN1139_c0_g1_i1	TRINITY_DN1139_c0_g1_i1	900	722.39	39.00	69.40	46.26	100.00
TRINITY_DN113_c0_g1_i1	TRINITY_DN113_c0_g1_i1	1597	1419.39	2.80	2.54	1.69	100.00
TRINITY_DN113_c0_g1_i2	TRINITY_DN113_c0_g1_i2	1606	1428.39	493.82	444.40	296.24	100.00
TRINITY_DN113_c0_g1_i3	TRINITY_DN113_c0_g1_i3	1597	1419.39	55.76	50.50	33.66	100.00
TRINITY_DN113_c0_g1_i4	TRINITY_DN113_c0_g1_i4	1631	1453.39	318.61	281.79	187.84	100.00
TRINITY_DN1140_c0_g1_i1	TRINITY_DN1140_c0_g1_i1	908	730.39	44.00	77.44	51.62	100.00
TRINITY_DN1141_c0_g1_i1	TRINITY_DN1141_c0_g1_i1	549	371.39	19.00	65.76	43.84	100.00
TRINITY_DN1142_c0_g1_i1	TRINITY_DN1142_c0_g1_i1	1399	1221.39	61.00	64.20	42.79	100.00
TRINITY_DN1143_c0_g1_i1	TRINITY_DN1143_c0_g1_i1	871	693.39	46.00	85.28	56.84	100.00
TRINITY_DN1144_c0_g1_i1	TRINITY_DN1144_c0_g1_i1	757	579.39	37.00	82.09	54.72	100.00
TRINITY_DN1145_c0_g1_i1	TRINITY_DN1145_c0_g1_i1	609	431.39	173.00	515.49	343.63	100.00
TRINITY_DN1146_c0_g1_i1	TRINITY_DN1146_c0_g1_i1	673	495.39	108.00	280.24	186.80	100.00
TRINITY_DN1147_c0_g1_i1	TRINITY_DN1147_c0_g1_i1	810	632.39	34.00	69.11	46.07	100.00
TRINITY_DN1148_c0_g1_i1	TRINITY_DN1148_c0_g1_i1	686	508.39	240.00	606.82	404.51	100.00
TRINITY_DN1149_c0_g1_i1	TRINITY_DN1149_c0_g1_i1	592	414.39	60.00	186.12	124.07	100.00
TRINITY_DN114_c0_g1_i1	TRINITY_DN114_c0_g1_i1	3149	2971.39	321.00	138.87	92.57	100.00
TRINITY_DN1150_c0_g1_i1	TRINITY_DN1150_c0_g1_i1	1062	884.39	293.00	425.87	283.88	100.00
TRINITY_DN1151_c0_g1_i1	TRINITY_DN1151_c0_g1_i1	575	397.39	25.00	80.87	53.91	100.00
TRINITY_DN1152_c0_g1_i1	TRINITY_DN1152_c0_g1_i1	635	457.39	24.00	67.45	44.96	100.00
TRINITY_DN1153_c0_g1_i1	TRINITY_DN1153_c0_g1_i1	1172	994.39	80.00	103.41	68.94	100.00
TRINITY_DN1154_c0_g1_i1	TRINITY_DN1154_c0_g1_i1	662	484.39	26.00	69.00	45.99	100.00
TRINITY_DN1155_c0_g1_i1	TRINITY_DN1155_c0_g1_i1	668	490.39	34.00	89.12	59.41	100.00
TRINITY_DN1156_c0_g1_i1	TRINITY_DN1156_c0_g1_i1	601	423.39	39.00	118.41	78.93	100.00
TRINITY_DN1157_c0_g1_i1	TRINITY_DN1157_c0_g1_i1	863	685.39	80.00	150.04	100.01	100.00
TRINITY_DN1158_c0_g1_i1	TRINITY_DN1158_c0_g1_i1	593	415.39	16.00	49.51	33.00	100.00
TRINITY_DN1159_c0_g1_i1	TRINITY_DN1159_c0_g1_i1	689	511.39	35.00	87.98	58.64	100.00
TRINITY_DN115_c0_g1_i1	TRINITY_DN115_c0_g1_i1	1259	1081.39	114.00	135.51	90.33	100.00
TRINITY_DN1160_c0_g1_i1	TRINITY_DN1160_c0_g1_i1	774	596.39	23.00	49.57	33.05	100.00
TRINITY_DN1161_c0_g1_i1	TRINITY_DN1161_c0_g1_i1	1126	948.39	189.00	256.17	170.76	100.00
TRINITY_DN1162_c0_g1_i1	TRINITY_DN1162_c0_g1_i1	1038	860.39	46.00	68.72	45.81	100.00
TRINITY_DN1163_c0_g1_i1	TRINITY_DN1163_c0_g1_i1	562	384.39	30.00	100.32	66.87	100.00
TRINITY_DN1164_c0_g1_i1	TRINITY_DN1164_c0_g1_i1	855	677.39	41.00	77.80	51.86	100.00
TRINITY_DN1165_c0_g1_i1	TRINITY_DN1165_c0_g1_i1	505	327.39	21.00	82.45	54.96	100.00
TRINITY_DN1166_c0_g1_i1	TRINITY_DN1166_c0_g1_i1	974	796.39	80.00	129.13	86.07	100.00
TRINITY_DN1167_c0_g1_i1	TRINITY_DN1167_c0_g1_i1	663	485.39	50.00	132.41	88.27	100.00
TRINITY_DN1168_c0_g1_i1	TRINITY_DN1168_c0_g1_i1	1017	839.39	24.00	36.75	24.50	100.00
TRINITY_DN1169_c0_g1_i1	TRINITY_DN1169_c0_g1_i1	667	489.39	24.00	63.04	42.02	100.00
TRINITY_DN116_c0_g1_i1	TRINITY_DN116_c0_g1_i1	1457	1279.39	40.52	40.71	27.14	100.00
TRINITY_DN116_c0_g1_i2	TRINITY_DN116_c0_g1_i2	1457	1279.39	64.22	64.52	43.01	100.00
TRINITY_DN116_c0_g1_i3	TRINITY_DN116_c0_g1_i3	1431	1253.39	171.40	175.79	117.18	100.00
TRINITY_DN116_c0_g1_i4	TRINITY_DN116_c0_g1_i4	1431	1253.39	114.85	117.79	78.52	100.00
TRINITY_DN1170_c0_g1_i1	TRINITY_DN1170_c0_g1_i1	544	366.39	20.00	70.17	46.77	100.00
TRINITY_DN1171_c0_g1_i1	TRINITY_DN1171_c0_g1_i1	610	432.39	43.00	127.83	85.21	100.00
TRINITY_DN1172_c0_g1_i1	TRINITY_DN1172_c0_g1_i1	1304	1126.39	40.00	45.65	30.43	100.00
TRINITY_DN1173_c0_g1_i1	TRINITY_DN1173_c0_g1_i1	737	559.39	16.00	36.77	24.51	100.00
TRINITY_DN1174_c0_g1_i1	TRINITY_DN1174_c0_g1_i1	606	428.39	48.00	144.03	96.01	100.00
TRINITY_DN1175_c0_g1_i1	TRINITY_DN1175_c0_g1_i1	825	647.39	113.00	224.37	149.56	100.00
TRINITY_DN1176_c0_g1_i1	TRINITY_DN1176_c0_g1_i1	776	598.39	148.00	317.93	211.93	100.00
TRINITY_DN1177_c0_g1_i1	TRINITY_DN1177_c0_g1_i1	813	635.39	70.00	141.61	94.40	100.00
TRINITY_DN1178_c0_g1_i1	TRINITY_DN1178_c0_g1_i1	827	649.39	74.00	146.48	97.64	100.00
TRINITY_DN1179_c0_g1_i1	TRINITY_DN1179_c0_g1_i1	1033	855.39	75.00	112.71	75.13	100.00
TRINITY_DN117_c0_g1_i1	TRINITY_DN117_c0_g1_i1	5464	5286.39	460.32	111.93	74.61	100.00
TRINITY_DN117_c0_g1_i2	TRINITY_DN117_c0_g1_i2	5464	5286.39	1012.68	246.24	164.14	100.00
TRINITY_DN1180_c0_g1_i1	TRINITY_DN1180_c0_g1_i1	625	447.39	90.00	258.59	172.37	100.00
TRINITY_DN1181_c0_g1_i1	TRINITY_DN1181_c0_g1_i1	660	482.39	46.00	122.58	81.71	100.00
TRINITY_DN1182_c0_g1_i1	TRINITY_DN1182_c0_g1_i1	755	577.39	27.00	60.11	40.07	100.00
