contig_name,length,prop_gc,orf_length,in_bridges,p_good,p_bases_covered,p_seq_true,score,p_not_segmented,eff_length,eff_count,tpm,coverage,sCnuc,sCcov,sCord,sCseg
TRINITY_DN45_c0_g1_i28,1394,0.418221,464,0,0.6,0.458393,0.957143,0.262098,0.99563,1394,7.91853,6.66323,0.85,0.957143,0.458393,0.6,0.99563
TRINITY_DN45_c0_g1_i11,1764,0.410431,567,0,0.966292,1.0,0.921951,0.883985,0.992267,1764,160.766,106.905,13.67,0.921951,1.0,0.966292,0.992267
TRINITY_DN45_c0_g1_i17,1764,0.412698,567,2,0.836735,1.0,0.913759,0.754879,0.98732,1764,124.366,82.7001,10.58,0.913759,1.0,0.836735,0.98732
TRINITY_DN45_c0_g1_i1,1733,0.415465,577,2,0.930769,1.0,0.913412,0.836448,0.983853,1733,211.047,142.851,18.27,0.913412,1.0,0.930769,0.983853
TRINITY_DN45_c0_g1_i23,1733,0.413156,577,3,0.700787,1.0,0.923214,0.61318,0.947762,1733,176.769,119.65,15.3,0.923214,1.0,0.700787,0.947762
TRINITY_DN45_c0_g1_i21,881,0.421112,293,0,0.869565,0.958002,0.891667,0.728753,0.98109,881,33.6239,44.7687,5.72,0.891667,0.958002,0.869565,0.98109
TRINITY_DN45_c0_g1_i8,1076,0.417286,358,0,0.622222,0.972119,0.950857,0.513583,0.892957,1076,46.97,51.2048,6.55,0.950857,0.972119,0.622222,0.892957
TRINITY_DN45_c0_g1_i25,1310,0.419847,436,3,0.505618,1.0,0.912594,0.443722,0.961637,1310,98.6313,88.3175,11.29,0.912594,1.0,0.505618,0.961637
TRINITY_DN61_c0_g1_i1,1880,0.437234,613,0,0.810897,1.0,0.968799,0.738332,0.939836,1880,312.0,194.67,24.89,0.968799,1.0,0.810897,0.939836
TRINITY_DN67_c0_g1_i1,596,0.427852,195,0,0.765306,1.0,0.980571,0.689005,0.918138,596,100.0,196.814,25.17,0.980571,1.0,0.765306,0.918138
TRINITY_DN67_c0_g2_i1,661,0.406959,197,0,0.734177,1.0,0.969293,0.468619,0.658512,661,165.0,292.81,37.44,0.969293,1.0,0.734177,0.658512
TRINITY_DN48_c0_g1_i1,4844,0.362097,1611,0,0.794992,1.0,0.973695,0.642596,0.830142,4844,639.0,154.739,19.79,0.973695,1.0,0.794992,0.830142
TRINITY_DN70_c0_g1_i1,3647,0.374554,1195,0,0.823834,1.0,0.970319,0.746398,0.933719,3647,579.0,186.228,23.81,0.970319,1.0,0.823834,0.933719
TRINITY_DN95_c0_g1_i2,1184,0.414696,368,0,0.931818,0.995777,0.947107,0.788472,0.89721,1184,257.504,255.115,32.62,0.947107,0.995777,0.931818,0.89721
TRINITY_DN95_c0_g1_i1,1184,0.433277,368,0,0.716535,1.0,0.945472,0.597284,0.881647,1184,248.496,246.19,31.48,0.945472,1.0,0.716535,0.881647
TRINITY_DN16_c0_g1_i2,3525,0.433191,1174,0,0.827338,1.0,0.965859,0.770633,0.964386,3525,1252.0,416.628,53.28,0.965859,1.0,0.827338,0.964386
TRINITY_DN55_c0_g1_i1,3883,0.375225,1264,0,0.815884,1.0,0.968191,0.760348,0.962549,3883,832.0,251.338,32.14,0.968191,1.0,0.815884,0.962549
TRINITY_DN96_c0_g1_i1,1818,0.411441,574,0,0.781711,1.0,0.967786,0.683084,0.902919,1818,678.0,437.46,55.94,0.967786,1.0,0.781711,0.902919
TRINITY_DN96_c0_g2_i6,1783,0.391475,570,1,0.970297,1.0,0.950903,0.887889,0.962316,1783,389.139,256.01,32.74,0.950903,1.0,0.970297,0.962316
TRINITY_DN96_c0_g2_i8,1807,0.402878,576,3,0.957806,0.984505,0.949641,0.852217,0.95169,1807,397.008,257.718,32.96,0.949641,0.984505,0.957806,0.95169
TRINITY_DN96_c0_g2_i5,1783,0.404936,570,1,0.63871,0.998878,0.918397,0.51725,0.882783,1783,190.506,125.331,16.03,0.918397,0.998878,0.63871,0.882783
TRINITY_DN96_c0_g2_i7,1807,0.387936,576,2,0.770798,1.0,0.962163,0.654375,0.882343,1807,621.558,403.484,51.6,0.962163,1.0,0.770798,0.882343
TRINITY_DN96_c0_g2_i4,1506,0.407039,478,1,0.485149,0.998672,0.92592,0.417724,0.931148,1506,119.481,93.0627,11.9,0.92592,0.998672,0.485149,0.931148
TRINITY_DN96_c0_g2_i1,1010,0.413861,336,0,0.777778,0.987129,0.941615,0.424258,0.586851,1010,79.2885,92.0856,11.78,0.941615,0.987129,0.777778,0.586851
TRINITY_DN96_c0_g3_i1,1673,0.394501,541,2,0.910448,1.0,0.959511,0.852719,0.976115,1673,345.686,242.375,30.99,0.959511,1.0,0.910448,0.976115
TRINITY_DN96_c0_g3_i2,1673,0.392708,541,0,0.729231,1.0,0.970833,0.653123,0.92254,1673,346.789,243.149,31.09,0.970833,1.0,0.729231,0.92254
TRINITY_DN81_c0_g1_i1,7966,0.347602,2628,0,0.820218,1.0,0.969905,0.783204,0.984501,7966,1742.0,256.514,32.8,0.969905,1.0,0.820218,0.984501
TRINITY_DN75_c0_g1_i1,2380,0.378571,792,0,0.781145,1.0,0.975526,0.731294,0.959669,2380,298.0,146.873,18.78,0.975526,1.0,0.781145,0.959669
TRINITY_DN14_c0_g1_i1,916,0.427948,279,0,0.82563,1.0,0.971034,0.625504,0.780208,916,476.0,609.557,77.95,0.971034,1.0,0.82563,0.780208
TRINITY_DN62_c0_g1_i1,2637,0.377702,853,0,0.821138,1.0,0.966773,0.753099,0.948662,2637,246.0,109.428,13.99,0.966773,1.0,0.821138,0.948662
TRINITY_DN8_c0_g1_i1,2253,0.413227,727,0,0.79235,1.0,0.953215,0.683555,0.905035,2253,186.0,96.84,12.38,0.953215,1.0,0.79235,0.905035
TRINITY_DN8_c1_g1_i1,1462,0.411765,456,0,0.824841,1.0,0.970507,0.719784,0.899152,1462,629.0,504.669,64.53,0.970507,1.0,0.824841,0.899152
TRINITY_DN8_c2_g1_i1,1138,0.476274,361,0,0.885714,1.0,0.971537,0.767706,0.892158,1138,140.0,144.307,18.45,0.971537,1.0,0.885714,0.892158
TRINITY_DN88_c0_g1_i1,1857,0.364028,590,0,0.762658,1.0,0.96553,0.692728,0.940735,1857,316.0,199.608,25.53,0.96553,1.0,0.762658,0.940735
TRINITY_DN98_c0_g1_i1,1620,0.418519,511,0,0.858852,1.0,0.967016,0.737272,0.88772,1620,418.0,302.666,38.7,0.967016,1.0,0.858852,0.88772
TRINITY_DN36_c0_g1_i6,1505,0.451827,501,1,0.738372,0.990698,0.877112,0.574877,0.89599,1505,208.637,162.614,20.79,0.877112,0.990698,0.738372,0.89599
TRINITY_DN36_c0_g1_i1,3145,0.455644,543,0,0.786667,0.996184,0.940973,0.619478,0.840076,3145,306.363,114.266,14.61,0.940973,0.996184,0.786667,0.840076
TRINITY_DN28_c0_g1_i1,1390,0.486331,463,1,0.846939,0.994964,0.966062,0.721293,0.886028,1390,97.4893,82.2707,10.52,0.966062,0.994964,0.846939,0.886028
TRINITY_DN28_c0_g2_i2,3242,0.390191,755,0,0.801075,0.994756,0.963776,0.730978,0.951784,3242,186.373,67.433,8.62,0.963776,0.994756,0.801075,0.951784
TRINITY_DN28_c0_g2_i1,1119,0.384272,355,0,0.775,1.0,0.964683,0.679336,0.908653,1119,41.0,42.979,5.5,0.964683,1.0,0.775,0.908653
TRINITY_DN28_c0_g2_i3,1328,0.335843,442,0,0.857143,1.0,0.95875,0.787657,0.95847,1328,85.9693,75.9361,9.71,0.95875,1.0,0.857143,0.95847
TRINITY_DN28_c0_g3_i1,3832,0.389614,1276,0,0.845878,1.0,0.972259,0.813972,0.989737,3832,280.511,85.8671,10.98,0.972259,1.0,0.845878,0.989737
TRINITY_DN28_c0_g4_i1,2557,0.396167,834,0,0.816629,1.0,0.974279,0.766321,0.963169,2557,879.949,403.673,51.62,0.974279,1.0,0.816629,0.963169
TRINITY_DN28_c0_g5_i1,1315,0.381749,409,0,0.77957,1.0,0.965869,0.66813,0.887335,1315,373.0,332.725,42.55,0.965869,1.0,0.77957,0.887335
TRINITY_DN28_c0_g6_i1,536,0.408582,178,0,0.733333,1.0,0.962434,0.475577,0.673827,536,30.0,65.6537,8.4,0.962434,1.0,0.733333,0.673827
TRINITY_DN26_c0_g1_i1,1626,0.434809,514,0,0.810458,1.0,0.966551,0.656661,0.838274,1626,612.0,441.503,56.46,0.966551,1.0,0.810458,0.838274
TRINITY_DN30_c0_g1_i1,1669,0.417615,528,0,0.794049,1.0,0.96687,0.693209,0.902919,1669,1286.08,903.89,115.59,0.96687,1.0,0.794049,0.902919
TRINITY_DN30_c0_g2_i1,1679,0.409172,533,1,0.820755,1.0,0.955268,0.700108,0.892949,1679,133.285,93.1177,11.91,0.955268,1.0,0.820755,0.892949
TRINITY_DN30_c0_g3_i1,1677,0.416219,530,0,0.788419,1.0,0.96138,0.680302,0.897532,1677,462.633,323.598,41.38,0.96138,1.0,0.788419,0.897532
TRINITY_DN72_c0_g1_i2,2181,0.429619,726,1,0.82906,0.861531,0.967423,0.224642,0.325101,2181,119.778,64.4205,8.24,0.967423,0.861531,0.82906,0.325101
TRINITY_DN72_c0_g1_i1,1005,0.427861,334,1,0.423077,0.976119,0.964286,0.385074,0.966978,1005,24.2221,28.2715,3.62,0.964286,0.976119,0.423077,0.966978
TRINITY_DN38_c0_g1_i1,1742,0.413892,551,1,0.732143,1.0,0.970387,0.680453,0.957762,1742,504.055,339.417,43.4,0.970387,1.0,0.732143,0.957762
TRINITY_DN50_c0_g1_i1,1041,0.373679,320,0,0.820611,1.0,0.963881,0.702434,0.888066,1041,263.0,296.352,37.9,0.963881,1.0,0.820611,0.888066
TRINITY_DN34_c0_g1_i5,1204,0.383721,381,1,0.897727,1.0,0.936899,0.682543,0.811508,1204,294.491,286.912,36.69,0.936899,1.0,0.897727,0.811508
TRINITY_DN34_c0_g1_i6,934,0.369379,291,2,0.839662,0.995717,0.910204,0.59325,0.779575,934,322.772,405.371,51.84,0.910204,0.995717,0.839662,0.779575
TRINITY_DN34_c0_g1_i7,1204,0.392857,381,3,0.724832,1.0,0.866447,0.495741,0.789361,1204,238.408,232.272,29.7,0.866447,1.0,0.724832,0.789361
TRINITY_DN34_c0_g1_i2,1204,0.387043,381,3,0.898734,0.992525,0.885714,0.675198,0.854604,1204,144.035,140.328,17.94,0.885714,0.992525,0.898734,0.854604
TRINITY_DN34_c0_g1_i4,1204,0.381229,381,9,0.652941,1.0,0.823938,0.474297,0.88162,1204,366.499,357.066,45.66,0.823938,1.0,0.652941,0.88162
TRINITY_DN34_c0_g2_i1,1295,0.383012,407,0,0.71875,1.0,0.954389,0.655437,0.955493,1295,193.796,175.541,22.45,0.954389,1.0,0.71875,0.955493
TRINITY_DN74_c0_g1_i1,1401,0.383298,466,0,0.751773,1.0,0.964862,0.689563,0.950653,1401,142.0,118.892,15.2,0.964862,1.0,0.751773,0.950653
TRINITY_DN15_c0_g1_i1,3791,0.393827,1233,0,0.826888,1.0,0.968457,0.771936,0.96395,3791,1630.0,504.356,64.49,0.968457,1.0,0.826888,0.96395
TRINITY_DN73_c0_g1_i1,1826,0.398686,596,0,0.860947,1.0,0.97211,0.815947,0.974923,1826,338.0,217.13,27.77,0.97211,1.0,0.860947,0.974923
TRINITY_DN94_c0_g1_i1,2191,0.415792,729,0,0.809117,1.0,0.969312,0.707366,0.901923,2191,703.0,376.371,48.13,0.969312,1.0,0.809117,0.901923
TRINITY_DN94_c0_g2_i1,946,0.448203,300,0,0.835443,1.0,0.964138,0.707669,0.878566,946,79.0,97.9578,12.53,0.964138,1.0,0.835443,0.878566
TRINITY_DN57_c0_g1_i1,2500,0.3932,832,0,0.82,1.0,0.967084,0.763818,0.96319,2500,401.0,188.151,24.06,0.967084,1.0,0.82,0.96319
TRINITY_DN32_c0_g2_i2,1442,0.439667,419,6,0.932927,1.0,0.955072,0.743737,0.83471,1442,233.087,189.608,24.25,0.955072,1.0,0.932927,0.83471
TRINITY_DN32_c0_g2_i4,2229,0.43921,742,23,0.906542,0.999103,0.957784,0.827128,0.95347,2229,459.596,241.863,30.93,0.957784,0.999103,0.906542,0.95347
TRINITY_DN32_c0_g2_i6,717,0.502092,238,1,0.714286,0.921897,0.915254,0.554717,0.920398,717,57.2617,93.6803,11.98,0.915254,0.921897,0.714286,0.920398
TRINITY_DN32_c0_g2_i1,2076,0.435934,635,2,0.685535,0.88921,0.965159,0.373215,0.634347,2076,147.123,83.13,10.63,0.965159,0.88921,0.685535,0.634347
TRINITY_DN32_c0_g2_i3,1625,0.447385,363,0,0.62766,0.944615,0.950943,0.52757,0.935721,1625,115.931,83.6854,10.7,0.950943,0.944615,0.62766,0.935721
TRINITY_DN32_c0_g1_i4,1343,0.426657,419,0,0.92126,0.976173,0.924692,0.274285,0.329834,1343,192.717,168.324,21.52,0.924692,0.976173,0.92126,0.329834
TRINITY_DN32_c0_g1_i7,1346,0.430163,419,1,0.888889,0.940565,0.921925,0.616408,0.799718,1346,122.166,106.465,13.61,0.921925,0.940565,0.888889,0.799718
TRINITY_DN32_c0_g1_i5,1067,0.433927,325,4,0.654321,0.991565,0.862651,0.430515,0.769204,1067,303.796,333.98,42.71,0.862651,0.991565,0.654321,0.769204
TRINITY_DN32_c0_g1_i11,932,0.44206,280,3,0.494624,0.988197,0.889265,0.262959,0.604977,932,116.055,146.067,18.68,0.889265,0.988197,0.494624,0.604977
TRINITY_DN32_c0_g1_i2,892,0.400224,269,0,1.0,1.0,0.913323,0.722636,0.791216,892,57.2079,75.2305,9.62,0.913323,1.0,1.0,0.791216
TRINITY_DN32_c0_g1_i3,892,0.409193,269,1,0.803922,0.991031,0.948748,0.655003,0.866546,892,52.9615,69.6463,8.91,0.948748,0.991031,0.803922,0.866546
TRINITY_DN32_c0_g1_i8,895,0.405587,269,0,0.541667,0.992179,0.903962,0.415382,0.855019,895,75.3476,98.7528,12.63,0.903962,0.992179,0.541667,0.855019
TRINITY_DN43_c0_g1_i1,1927,0.408926,605,0,0.802281,1.0,0.971579,0.720692,0.924581,1927,526.0,320.189,40.94,0.971579,1.0,0.802281,0.924581
TRINITY_DN1_c0_g1_i1,1936,0.428719,613,6,0.81251,1.0,0.966284,0.706933,0.900419,1936,6071.39,3678.63,470.41,0.966284,1.0,0.81251,0.900419
TRINITY_DN1_c1_g1_i1,1226,0.417618,408,0,0.847458,0.979608,0.919343,0.682752,0.894571,1226,62.0,59.3204,7.59,0.919343,0.979608,0.847458,0.894571
TRINITY_DN1_c1_g2_i1,508,0.405512,169,0,0.8,0.992126,0.966327,0.695847,0.907262,508,17.0,39.2544,5.02,0.966327,0.992126,0.8,0.907262
TRINITY_DN1_c1_g3_i1,720,0.451389,226,0,0.7,1.0,0.982942,0.57903,0.84154,720,40.0,65.1674,8.33,0.982942,1.0,0.7,0.84154
TRINITY_DN1_c2_g1_i1,652,0.429448,217,0,0.616438,0.996933,0.966586,0.067088,0.11294,652,146.401,263.39,33.68,0.966586,0.996933,0.616438,0.11294
TRINITY_DN1_c2_g2_i2,832,0.448317,276,0,0.87931,0.992788,0.96317,0.646116,0.768438,832,77.8392,109.743,14.03,0.96317,0.992788,0.87931,0.768438
TRINITY_DN1_c2_g2_i1,823,0.441069,273,0,0.666667,0.99271,0.951238,0.543482,0.863307,823,48.1608,68.6431,8.78,0.951238,0.99271,0.666667,0.863307
TRINITY_DN1_c2_g3_i1,519,0.421965,172,0,0.479167,0.998073,0.824823,0.143159,0.362918,519,192.211,434.425,55.55,0.824823,0.998073,0.479167,0.362918
TRINITY_DN63_c0_g1_i1,985,0.451777,298,0,0.744589,1.0,0.957037,0.460807,0.646657,985,231.0,275.092,35.18,0.957037,1.0,0.744589,0.646657
TRINITY_DN42_c0_g1_i1,3401,0.361952,1102,0,0.833916,1.0,0.970396,0.771006,0.952766,3401,573.0,197.629,25.27,0.970396,1.0,0.833916,0.952766
TRINITY_DN47_c0_g1_i1,1224,0.375,407,0,0.815951,1.0,0.969978,0.620747,0.784312,1224,326.0,312.42,39.95,0.969978,1.0,0.815951,0.784312
TRINITY_DN2_c0_g1_i1,1067,0.393627,325,0,0.817106,1.0,0.966748,0.516667,0.654062,1067,1864.0,2049.2,262.04,0.966748,1.0,0.817106,0.654062
TRINITY_DN19_c0_g1_i1,894,0.39821,271,0,0.80597,1.0,0.971324,0.52062,0.665025,894,604.0,792.506,101.34,0.971324,1.0,0.80597,0.665025
TRINITY_DN24_c0_g1_i1,2309,0.447813,692,0,0.798551,1.0,0.969542,0.689859,0.891028,2309,691.0,351.04,44.89,0.969542,1.0,0.798551,0.891028
TRINITY_DN52_c0_g1_i1,1523,0.395929,475,0,0.720165,1.0,0.968011,0.596905,0.856236,1523,243.0,187.158,23.93,0.968011,1.0,0.720165,0.856236
TRINITY_DN97_c0_g1_i1,3113,0.398008,1026,0,0.820652,1.0,0.97177,0.766354,0.960963,3113,368.0,138.667,17.73,0.97177,1.0,0.820652,0.960963
TRINITY_DN41_c0_g1_i1,1968,0.433435,633,0,0.788313,1.0,0.96912,0.68741,0.899786,1968,907.0,540.611,69.13,0.96912,1.0,0.788313,0.899786
TRINITY_DN41_c0_g2_i1,2060,0.404854,663,0,0.841969,1.0,0.973398,0.781342,0.953355,2060,386.0,219.798,28.11,0.973398,1.0,0.841969,0.953355
TRINITY_DN37_c0_g1_i2,3358,0.410959,1091,6,0.945507,1.0,0.973062,0.882752,0.959475,3358,1486.93,519.414,66.42,0.973062,1.0,0.945507,0.959475
TRINITY_DN37_c0_g1_i1,3320,0.410843,1091,0,0.652493,1.0,0.969212,0.462173,0.730819,3320,737.068,260.419,33.3,0.969212,1.0,0.652493,0.730819
TRINITY_DN5_c0_g1_i1,1914,0.392372,637,0,0.828283,0.999478,0.977979,0.769826,0.950849,1914,198.0,121.346,15.52,0.977979,0.999478,0.828283,0.950849
TRINITY_DN5_c0_g2_i1,1388,0.392651,444,0,0.784483,1.0,0.950587,0.715549,0.959542,1388,116.0,98.0328,12.54,0.950587,1.0,0.784483,0.959542
TRINITY_DN5_c1_g1_i1,3465,0.408369,1132,0,0.838068,1.0,0.964308,0.775107,0.959106,3465,354.0,119.84,15.32,0.964308,1.0,0.838068,0.959106
TRINITY_DN5_c2_g1_i1,1482,0.402159,464,0,0.801494,1.0,0.967506,0.651311,0.839913,1482,939.0,743.225,95.04,0.967506,1.0,0.801494,0.839913
TRINITY_DN71_c0_g1_i1,1284,0.464174,427,0,0.80829,1.0,0.966219,0.702598,0.89963,1284,195.0,178.145,22.78,0.966219,1.0,0.80829,0.89963
TRINITY_DN71_c0_g2_i1,1335,0.420225,412,0,0.797546,1.0,0.96197,0.645508,0.841365,1335,163.0,143.222,18.31,0.96197,1.0,0.797546,0.841365
TRINITY_DN29_c0_g1_i1,1323,0.430083,414,0,0.807365,1.0,0.975369,0.398864,0.506507,1323,353.0,312.981,40.02,0.975369,1.0,0.807365,0.506507
TRINITY_DN46_c0_g1_i1,4387,0.394575,1435,0,0.845426,1.0,0.97195,0.791252,0.962931,4387,951.0,254.282,32.52,0.97195,1.0,0.845426,0.962931
TRINITY_DN80_c0_g1_i1,1562,0.40781,520,0,0.760417,1.0,0.979374,0.696298,0.934964,1562,96.0,72.093,9.22,0.979374,1.0,0.760417,0.934964
TRINITY_DN90_c0_g1_i1,1120,0.426786,340,0,0.81039,1.0,0.952771,0.538203,0.69705,1120,1540.0,1612.89,206.25,0.952771,1.0,0.81039,0.69705
TRINITY_DN9_c0_g1_i1,989,0.448938,298,0,0.803419,1.0,0.971725,0.560027,0.717338,989,586.0,695.031,88.88,0.971725,1.0,0.803419,0.717338
TRINITY_DN12_c0_g1_i2,2203,0.388561,709,5,0.964337,1.0,0.944702,0.876651,0.962284,2203,1240.7,660.624,84.48,0.944702,1.0,0.964337,0.962284
TRINITY_DN12_c0_g1_i5,2226,0.382749,710,15,0.821235,1.0,0.935184,0.647214,0.84272,2226,1317.11,694.063,88.75,0.935184,1.0,0.821235,0.84272
TRINITY_DN12_c0_g1_i7,2226,0.380503,710,8,0.858124,1.0,0.948902,0.735225,0.902919,2226,1791.45,944.021,120.72,0.948902,1.0,0.858124,0.902919
TRINITY_DN12_c0_g1_i4,2203,0.386291,709,5,0.663462,1.0,0.958943,0.563233,0.885277,2203,1292.75,688.339,88.02,0.958943,1.0,0.663462,0.885277
TRINITY_DN65_c0_g1_i1,888,0.388514,295,0,0.962963,1.0,0.809266,0.583059,0.74819,888,49.9524,65.9851,8.44,0.809266,1.0,0.962963,0.74819
TRINITY_DN65_c0_g1_i2,2148,0.385009,715,0,0.722826,0.999534,0.929067,0.648562,0.966213,2148,182.048,99.4154,12.71,0.929067,0.999534,0.722826,0.966213
TRINITY_DN65_c0_g2_i1,851,0.393655,260,0,0.901099,0.987074,0.962675,0.746152,0.871416,851,91.0,125.434,16.04,0.962675,0.987074,0.901099,0.871416
TRINITY_DN65_c0_g3_i1,2152,0.371283,686,0,0.802139,1.0,0.975668,0.749949,0.958252,2152,561.0,305.79,39.1,0.975668,1.0,0.802139,0.958252
TRINITY_DN65_c0_g4_i3,3548,0.421364,1159,0,0.784777,1.0,0.954958,0.732768,0.977768,3548,382.0,126.294,16.15,0.954958,1.0,0.784777,0.977768
TRINITY_DN65_c0_g4_i1,3514,0.36255,1170,0,0.831081,1.0,0.965872,0.774266,0.964555,3514,1184.86,395.52,50.58,0.965872,1.0,0.831081,0.964555
TRINITY_DN65_c0_g5_i1,1307,0.476664,404,0,0.81068,1.0,0.971045,0.631856,0.802656,1307,412.0,369.764,47.28,0.971045,1.0,0.81068,0.802656
TRINITY_DN65_c1_g1_i1,2893,0.390598,963,0,0.841216,1.0,0.960884,0.805132,0.996067,2893,595.0,241.252,30.85,0.960884,1.0,0.841216,0.996067
TRINITY_DN65_c1_g2_i1,1352,0.454142,430,0,0.768908,0.994822,0.969116,0.674123,0.909376,1352,238.0,206.492,26.41,0.969116,0.994822,0.768908,0.909376
TRINITY_DN65_c2_g1_i1,805,0.330435,246,1,0.819048,1.0,0.964398,0.700097,0.886324,805,105.721,154.052,19.7,0.964398,1.0,0.819048,0.886324
TRINITY_DN65_c2_g2_i1,2737,0.389112,911,1,0.89372,1.0,0.96957,0.830322,0.958222,2737,226.283,96.9793,12.4,0.96957,1.0,0.89372,0.958222
TRINITY_DN65_c2_g2_i2,2664,0.373123,877,1,0.84153,1.0,0.960317,0.76177,0.942626,2664,192.568,84.7917,10.84,0.960317,1.0,0.84153,0.942626
TRINITY_DN65_c2_g3_i1,5422,0.371634,1806,0,0.823194,1.0,0.958942,0.705003,0.893093,5422,529.429,114.538,14.65,0.958942,1.0,0.823194,0.893093
TRINITY_DN65_c3_g1_i1,1755,0.37208,559,0,0.821326,1.0,0.966283,0.715306,0.901306,1755,348.0,232.598,29.74,0.966283,1.0,0.821326,0.901306
TRINITY_DN65_c4_g1_i1,1281,0.364559,426,0,0.695122,0.98829,0.974512,0.591263,0.883178,1281,82.2885,75.3517,9.64,0.974512,0.98829,0.695122,0.883178
TRINITY_DN68_c0_g1_i1,1240,0.408871,412,0,0.861905,1.0,0.965583,0.195689,0.235135,1240,210.0,198.656,25.4,0.965583,1.0,0.861905,0.235135
TRINITY_DN68_c0_g2_i1,1225,0.461224,382,0,0.810945,1.0,0.971194,0.620833,0.788274,1225,203.0,194.385,24.86,0.971194,1.0,0.810945,0.788274
TRINITY_DN92_c0_g1_i1,1182,0.530457,363,0,0.890244,1.0,0.976481,0.680171,0.78243,1182,164.0,162.753,20.81,0.976481,1.0,0.890244,0.78243
TRINITY_DN58_c0_g1_i3,1800,0.43,572,0,0.796157,1.0,0.966495,0.646298,0.839913,1800,1207.73,787.045,100.64,0.966495,1.0,0.796157,0.839913
TRINITY_DN58_c0_g1_i2,1802,0.431743,572,0,0.820276,1.0,0.965948,0.735057,0.927699,1802,451.272,293.756,37.56,0.965948,1.0,0.820276,0.927699
TRINITY_DN6_c0_g1_i1,1678,0.378427,530,0,0.813309,1.0,0.971822,0.680853,0.861412,1678,1083.0,757.076,96.81,0.971822,1.0,0.813309,0.861412
TRINITY_DN11_c0_g1_i1,1803,0.432058,573,0,0.81659,1.0,0.971862,0.67585,0.851612,1803,1086.0,706.541,90.35,0.971862,1.0,0.81659,0.851612
TRINITY_DN7_c0_g1_i1,2435,0.386448,779,0,0.84639,1.0,0.972427,0.727025,0.883327,2435,651.0,313.606,40.1,0.972427,1.0,0.84639,0.883327
TRINITY_DN7_c0_g2_i1,4001,0.348163,1314,0,0.816075,0.99825,0.971638,0.759899,0.960024,4001,2031.0,595.449,76.14,0.971638,0.99825,0.816075,0.960024
TRINITY_DN7_c1_g1_i1,1611,0.394165,536,0,0.818841,1.0,0.975754,0.761418,0.952979,1611,138.0,100.482,12.85,0.975754,1.0,0.818841,0.952979
TRINITY_DN7_c1_g2_i1,1896,0.43038,628,0,0.808511,1.0,0.971877,0.763966,0.972248,1896,141.0,87.2336,11.16,0.971877,1.0,0.808511,0.972248
TRINITY_DN53_c0_g1_i1,833,0.398559,254,0,0.788732,1.0,0.978515,0.698487,0.905026,833,142.0,199.961,25.57,0.978515,1.0,0.788732,0.905026
TRINITY_DN84_c0_g1_i1,1402,0.379458,466,0,0.896226,1.0,0.971996,0.72238,0.829246,1402,213.0,178.211,22.79,0.971996,1.0,0.896226,0.829246
TRINITY_DN82_c0_g1_i1,2288,0.398601,744,1,0.861929,1.0,0.96625,0.326694,0.392265,2288,1202.95,616.727,78.86,0.96625,1.0,0.861929,0.392265
TRINITY_DN82_c0_g1_i2,2393,0.396155,779,0,0.633166,1.0,0.957267,0.100864,0.166412,2393,458.055,224.532,28.71,0.957267,1.0,0.633166,0.166412
TRINITY_DN23_c0_g1_i2,4279,0.394017,1400,0,0.875,1.0,0.965021,0.808618,0.957632,4279,347.489,95.2581,12.18,0.965021,1.0,0.875,0.957632
