index	name	xprs_tpm_kallisto	xprs_count_kallisto	xprs_tpm_rsem_x	xprs_count_rsem_x	xprs_tpm_rsem_y	xprs_count_rsem_y	length	tr_good	tr_bases_covered	tr_seq_true	tr_score	tr_not_segmented	component_contribute_xprs_tpm_kallisto	component_contribute_xprs_count_kallisto	component_contribute_xprs_tpm_rsem_x	component_contribute_xprs_count_rsem_x	component_contribute_xprs_tpm_rsem_y	component_contribute_xprs_count_rsem_y	component_relative_xprs_tpm_kallisto	component_relative_xprs_count_kallisto	component_relative_xprs_tpm_rsem_x	component_relative_xprs_count_rsem_x	component_relative_xprs_tpm_rsem_y	component_relative_xprs_count_rsem_y	component	index_component	component_tot_xprs_tpm_kallisto	component_tot_xprs_count_kallisto	component_tot_xprs_tpm_rsem_x	component_tot_xprs_count_rsem_x	component_tot_xprs_tpm_rsem_y	component_tot_xprs_count_rsem_y	component_avg_xprs_tpm_kallisto	component_avg_xprs_count_kallisto	component_avg_xprs_tpm_rsem_x	component_avg_xprs_count_rsem_x	component_avg_xprs_tpm_rsem_y	component_avg_xprs_count_rsem_y	component_max_xprs_tpm_kallisto	component_max_xprs_count_kallisto	component_max_xprs_tpm_rsem_x	component_max_xprs_count_rsem_x	component_max_xprs_tpm_rsem_y	component_max_xprs_count_rsem_y	component_size	component_component
10	TRINITY_DN45_c0_g1_i28	12.925	15.548	11.13	10.53	11.13	10.53	1394	0.6	0.458	0.957	0.262	0.996	0.029	0.025	0.023	0.021	0.023	0.021	0.109	0.085	0.111	0.087	0.111	0.087	6	6	447.974	610.002	486.42	508.0	486.42	508.0	44.797	61.0	48.642	50.8	48.642	50.8	118.291	182.055	100.38	121.46	100.38	121.46	10	6
11	TRINITY_DN45_c0_g1_i11	38.101	59.811	60.08	74.15	60.08	74.15	1764	0.966	1.0	0.922	0.884	0.992	0.085	0.098	0.124	0.146	0.124	0.146	0.322	0.329	0.599	0.61	0.599	0.61	6	6	447.974	610.002	486.42	508.0	486.42	508.0	44.797	61.0	48.642	50.8	48.642	50.8	118.291	182.055	100.38	121.46	100.38	121.46	10	6
12	TRINITY_DN45_c0_g1_i17	53.213	83.534	56.91	70.24	56.91	70.24	1764	0.837	1.0	0.914	0.755	0.987	0.119	0.137	0.117	0.138	0.117	0.138	0.45	0.459	0.567	0.578	0.567	0.578	6	6	447.974	610.002	486.42	508.0	486.42	508.0	44.797	61.0	48.642	50.8	48.642	50.8	118.291	182.055	100.38	121.46	100.38	121.46	10	6
13	TRINITY_DN45_c0_g1_i1	118.291	182.055	87.59	105.98	87.59	105.98	1733	0.931	1.0	0.913	0.836	0.984	0.264	0.298	0.18	0.209	0.18	0.209	1.0	1.0	0.873	0.873	0.873	0.873	6	6	447.974	610.002	486.42	508.0	486.42	508.0	44.797	61.0	48.642	50.8	48.642	50.8	118.291	182.055	100.38	121.46	100.38	121.46	10	6
14	TRINITY_DN45_c0_g1_i23	85.054	130.903	100.38	121.46	100.38	121.46	1733	0.701	1.0	0.923	0.613	0.948	0.19	0.215	0.206	0.239	0.206	0.239	0.719	0.719	1.0	1.0	1.0	1.0	6	6	447.974	610.002	486.42	508.0	486.42	508.0	44.797	61.0	48.642	50.8	48.642	50.8	118.291	182.055	100.38	121.46	100.38	121.46	10	6
15	TRINITY_DN45_c0_g1_i21	54.865	38.089	50.25	27.5	50.25	27.5	881	0.87	0.958	0.892	0.729	0.981	0.122	0.062	0.103	0.054	0.103	0.054	0.464	0.209	0.501	0.226	0.501	0.226	6	6	447.974	610.002	486.42	508.0	486.42	508.0	44.797	61.0	48.642	50.8	48.642	50.8	118.291	182.055	100.38	121.46	100.38	121.46	10	6
16	TRINITY_DN45_c0_g1_i8	0.0	0.0	27.82	19.44	27.82	19.44	1076	0.622	0.972	0.951	0.514	0.893	0.0	0.0	0.057	0.038	0.057	0.038	0.0	0.0	0.277	0.16	0.277	0.16	6	6	447.974	610.002	486.42	508.0	486.42	508.0	44.797	61.0	48.642	50.8	48.642	50.8	118.291	182.055	100.38	121.46	100.38	121.46	10	6
17	TRINITY_DN45_c0_g1_i25	15.706	17.585	13.84	12.2	13.84	12.2	1310	0.506	1.0	0.913	0.444	0.962	0.035	0.029	0.028	0.024	0.028	0.024	0.133	0.097	0.138	0.1	0.138	0.1	6	6	447.974	610.002	486.42	508.0	486.42	508.0	44.797	61.0	48.642	50.8	48.642	50.8	118.291	182.055	100.38	121.46	100.38	121.46	10	6
18	TRINITY_DN61_c0_g1_i1	186.372	314.0	188.77	250.0	188.77	250.0	1880	0.811	1.0	0.969	0.738	0.94	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7	7	186.372	314.0	188.77	250.0	188.77	250.0	186.372	314.0	188.77	250.0	188.77	250.0	186.372	314.0	188.77	250.0	188.77	250.0	1	7
19	TRINITY_DN67_c0_g1_i1	238.074	98.0	236.57	77.0	236.57	77.0	596	0.765	1.0	0.981	0.689	0.918	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8	8	238.074	98.0	236.57	77.0	236.57	77.0	238.074	98.0	236.57	77.0	236.57	77.0	238.074	98.0	236.57	77.0	236.57	77.0	1	8
20	TRINITY_DN67_c0_g2_i1	329.77	157.0	319.1	120.0	319.1	120.0	661	0.734	1.0	0.969	0.469	0.659	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	9	9	329.77	157.0	319.1	120.0	319.1	120.0	329.77	157.0	319.1	120.0	319.1	120.0	329.77	157.0	319.1	120.0	319.1	120.0	1	9
21	TRINITY_DN48_c0_g1_i1	139.928	647.0	141.31	513.0	141.31	513.0	4844	0.795	1.0	0.974	0.643	0.83	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10	10	139.928	647.0	141.31	513.0	141.31	513.0	139.928	647.0	141.31	513.0	141.31	513.0	139.928	647.0	141.31	513.0	141.31	513.0	1	10
22	TRINITY_DN70_c0_g1_i1	169.63	583.0	170.06	459.0	170.06	459.0	3647	0.824	1.0	0.97	0.746	0.934	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	11	11	169.63	583.0	170.06	459.0	170.06	459.0	169.63	583.0	170.06	459.0	170.06	459.0	169.63	583.0	170.06	459.0	170.06	459.0	1	11
23	TRINITY_DN95_c0_g1_i2	138.274	137.538	114.93	89.98	114.93	89.98	1184	0.932	0.996	0.947	0.788	0.897	0.352	0.352	0.309	0.309	0.309	0.309	0.543	0.543	0.448	0.448	0.448	0.448	12	12	393.093	391.0	371.69	291.0	371.69	291.0	196.546	195.5	185.845	145.5	185.845	145.5	254.819	253.462	256.76	201.02	256.76	201.02	2	12
24	TRINITY_DN95_c0_g1_i1	254.819	253.462	256.76	201.02	256.76	201.02	1184	0.717	1.0	0.945	0.597	0.882	0.648	0.648	0.691	0.691	0.691	0.691	1.0	1.0	1.0	1.0	1.0	1.0	12	12	393.093	391.0	371.69	291.0	371.69	291.0	196.546	195.5	185.845	145.5	185.845	145.5	254.819	253.462	256.76	201.02	256.76	201.02	2	12
25	TRINITY_DN16_c0_g1_i2	382.096	1267.0	378.25	985.0	378.25	985.0	3525	0.827	1.0	0.966	0.771	0.964	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	13	13	382.096	1267.0	378.25	985.0	378.25	985.0	382.096	1267.0	378.25	985.0	378.25	985.0	382.096	1267.0	378.25	985.0	378.25	985.0	1	13
26	TRINITY_DN55_c0_g1_i1	227.192	834.0	225.14	649.0	225.14	649.0	3883	0.816	1.0	0.968	0.76	0.963	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	14	14	227.192	834.0	225.14	649.0	225.14	649.0	227.192	834.0	225.14	649.0	225.14	649.0	227.192	834.0	225.14	649.0	225.14	649.0	1	14
27	TRINITY_DN96_c0_g1_i1	420.741	683.0	412.97	527.0	412.97	527.0	1818	0.782	1.0	0.968	0.683	0.903	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	15	15	420.741	683.0	412.97	527.0	412.97	527.0	420.741	683.0	412.97	527.0	412.97	527.0	420.741	683.0	412.97	527.0	412.97	527.0	1	15
28	TRINITY_DN96_c0_g2_i6	23.915	37.992	32.04	40.01	32.04	40.01	1783	0.97	1.0	0.951	0.888	0.962	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	16	16	23.915	37.992	32.04	40.01	32.04	40.01	23.915	37.992	32.04	40.01	32.04	40.01	23.915	37.992	32.04	40.01	32.04	40.01	1	16
29	TRINITY_DN96_c0_g2_i8	38.401	61.919	31.85	40.37	31.85	40.37	1807	0.958	0.985	0.95	0.852	0.952	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	17	17	38.401	61.919	31.85	40.37	31.85	40.37	38.401	61.919	31.85	40.37	31.85	40.37	38.401	61.919	31.85	40.37	31.85	40.37	1	17
30	TRINITY_DN96_c0_g2_i5	230.772	366.61	222.45	277.82	222.45	277.82	1783	0.639	0.999	0.918	0.517	0.883	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	18	18	230.772	366.61	222.45	277.82	222.45	277.82	230.772	366.61	222.45	277.82	222.45	277.82	230.772	366.61	222.45	277.82	222.45	277.82	1	18
31	TRINITY_DN96_c0_g2_i7	462.082	745.071	458.67	581.4	458.67	581.4	1807	0.771	1.0	0.962	0.654	0.882	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	19	19	462.082	745.071	458.67	581.4	458.67	581.4	462.082	745.071	458.67	581.4	458.67	581.4	462.082	745.071	458.67	581.4	458.67	581.4	1	19
32	TRINITY_DN96_c0_g2_i4	49.192	64.636	53.25	55.03	53.25	55.03	1506	0.485	0.999	0.926	0.418	0.931	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20	20	49.192	64.636	53.25	55.03	53.25	55.03	49.192	64.636	53.25	55.03	53.25	55.03	49.192	64.636	53.25	55.03	53.25	55.03	1	20
33	TRINITY_DN96_c0_g2_i1	78.784	64.772	79.32	51.37	79.32	51.37	1010	0.778	0.987	0.942	0.424	0.587	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	21	21	78.784	64.772	79.32	51.37	79.32	51.37	78.784	64.772	79.32	51.37	79.32	51.37	78.784	64.772	79.32	51.37	79.32	51.37	1	21
34	TRINITY_DN96_c0_g3_i1	30.855	45.652	48.32	56.21	48.32	56.21	1673	0.91	1.0	0.96	0.853	0.976	0.087	0.087	0.134	0.134	0.134	0.134	0.095	0.095	0.155	0.155	0.155	0.155	22	22	354.837	525.0	360.18	419.0	360.18	419.0	177.419	262.5	180.09	209.5	180.09	209.5	323.982	479.348	311.86	362.79	311.86	362.79	2	22
35	TRINITY_DN96_c0_g3_i2	323.982	479.348	311.86	362.79	311.86	362.79	1673	0.729	1.0	0.971	0.653	0.923	0.913	0.913	0.866	0.866	0.866	0.866	1.0	1.0	1.0	1.0	1.0	1.0	22	22	354.837	525.0	360.18	419.0	360.18	419.0	177.419	262.5	180.09	209.5	180.09	209.5	323.982	479.348	311.86	362.79	311.86	362.79	2	22
36	TRINITY_DN81_c0_g1_i1	226.182	1746.0	228.75	1386.0	228.75	1386.0	7966	0.82	1.0	0.97	0.783	0.985	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	23	23	226.182	1746.0	228.75	1386.0	228.75	1386.0	226.182	1746.0	228.75	1386.0	228.75	1386.0	226.182	1746.0	228.75	1386.0	228.75	1386.0	1	23
37	TRINITY_DN75_c0_g1_i1	138.036	301.0	137.74	236.0	137.74	236.0	2380	0.781	1.0	0.976	0.731	0.96	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	24	24	138.036	301.0	137.74	236.0	137.74	236.0	138.036	301.0	137.74	236.0	137.74	236.0	138.036	301.0	137.74	236.0	137.74	236.0	1	24
38	TRINITY_DN14_c0_g1_i1	659.865	481.0	677.19	389.0	677.19	389.0	916	0.826	1.0	0.971	0.626	0.78	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	25	25	659.865	481.0	677.19	389.0	677.19	389.0	659.865	481.0	677.19	389.0	677.19	389.0	659.865	481.0	677.19	389.0	677.19	389.0	1	25
39	TRINITY_DN62_c0_g1_i1	101.009	246.0	97.74	187.0	97.74	187.0	2637	0.821	1.0	0.967	0.753	0.949	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	26	26	101.009	246.0	97.74	187.0	97.74	187.0	101.009	246.0	97.74	187.0	97.74	187.0	101.009	246.0	97.74	187.0	97.74	187.0	1	26
40	TRINITY_DN8_c0_g1_i1	90.526	186.0	84.23	136.0	84.23	136.0	2253	0.792	1.0	0.953	0.684	0.905	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	27	27	90.526	186.0	84.23	136.0	84.23	136.0	90.526	186.0	84.23	136.0	84.23	136.0	90.526	186.0	84.23	136.0	84.23	136.0	1	27
41	TRINITY_DN8_c1_g1_i1	503.806	640.0	500.41	500.0	500.41	500.0	1462	0.825	1.0	0.971	0.72	0.899	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	28	28	503.806	640.0	500.41	500.0	500.41	500.0	503.806	640.0	500.41	500.0	500.41	500.0	503.806	640.0	500.41	500.0	500.41	500.0	1	28
42	TRINITY_DN8_c2_g1_i1	148.567	141.0	148.57	111.0	148.57	111.0	1138	0.886	1.0	0.972	0.768	0.892	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	29	29	148.567	141.0	148.57	111.0	148.57	111.0	148.567	141.0	148.57	111.0	148.57	111.0	148.567	141.0	148.57	111.0	148.57	111.0	1	29
43	TRINITY_DN88_c0_g1_i1	194.344	323.0	190.59	249.0	190.59	249.0	1857	0.763	1.0	0.966	0.693	0.941	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	30	30	194.344	323.0	190.59	249.0	190.59	249.0	194.344	323.0	190.59	249.0	190.59	249.0	194.344	323.0	190.59	249.0	190.59	249.0	1	30
44	TRINITY_DN98_c0_g1_i1	295.025	421.0	286.96	322.0	286.96	322.0	1620	0.859	1.0	0.967	0.737	0.888	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	31	31	295.025	421.0	286.96	322.0	286.96	322.0	295.025	421.0	286.96	322.0	286.96	322.0	295.025	421.0	286.96	322.0	286.96	322.0	1	31
45	TRINITY_DN36_c0_g1_i6	79.656	104.585	85.53	88.32	85.53	88.32	1505	0.738	0.991	0.877	0.575	0.896	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	32	32	79.656	104.585	85.53	88.32	85.53	88.32	79.656	104.585	85.53	88.32	85.53	88.32	79.656	104.585	85.53	88.32	85.53	88.32	1	32
46	TRINITY_DN36_c0_g1_i1	107.316	315.415	105.99	244.68	105.99	244.68	3145	0.787	0.996	0.941	0.619	0.84	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	33	33	107.316	315.415	105.99	244.68	105.99	244.68	107.316	315.415	105.99	244.68	105.99	244.68	107.316	315.415	105.99	244.68	105.99	244.68	1	33
47	TRINITY_DN28_c0_g1_i1	80.071	96.0	79.52	75.0	79.52	75.0	1390	0.847	0.995	0.966	0.721	0.886	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	34	34	80.071	96.0	79.52	75.0	79.52	75.0	80.071	96.0	79.52	75.0	79.52	75.0	80.071	96.0	79.52	75.0	79.52	75.0	1	34
48	TRINITY_DN28_c0_g2_i2	58.972	179.0	59.57	142.0	59.57	142.0	3242	0.801	0.995	0.964	0.731	0.952	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	35	35	58.972	179.0	59.57	142.0	59.57	142.0	58.972	179.0	59.57	142.0	59.57	142.0	58.972	179.0	59.57	142.0	59.57	142.0	1	35
49	TRINITY_DN28_c0_g2_i1	44.075	41.0	42.33	31.0	42.33	31.0	1119	0.775	1.0	0.965	0.679	0.909	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	36	36	44.075	41.0	42.33	31.0	42.33	31.0	44.075	41.0	42.33	31.0	42.33	31.0	44.075	41.0	42.33	31.0	42.33	31.0	1	36
50	TRINITY_DN28_c0_g2_i3	73.849	84.0	75.98	68.0	75.98	68.0	1328	0.857	1.0	0.959	0.788	0.958	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	37	37	73.849	84.0	75.98	68.0	75.98	68.0	73.849	84.0	75.98	68.0	75.98	68.0	73.849	84.0	75.98	68.0	75.98	68.0	1	37
51	TRINITY_DN28_c0_g3_i1	76.788	278.0	74.92	213.0	74.92	213.0	3832	0.846	1.0	0.972	0.814	0.99	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	38	38	76.788	278.0	74.92	213.0	74.92	213.0	76.788	278.0	74.92	213.0	74.92	213.0	76.788	278.0	74.92	213.0	74.92	213.0	1	38
52	TRINITY_DN28_c0_g4_i1	374.349	882.0	376.55	697.0	376.55	697.0	2557	0.817	1.0	0.974	0.766	0.963	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	39	39	374.349	882.0	376.55	697.0	376.55	697.0	374.349	882.0	376.55	697.0	376.55	697.0	374.349	882.0	376.55	697.0	376.55	697.0	1	39
53	TRINITY_DN28_c0_g5_i1	335.239	377.0	333.4	295.0	333.4	295.0	1315	0.78	1.0	0.966	0.668	0.887	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	40	40	335.239	377.0	333.4	295.0	333.4	295.0	335.239	377.0	333.4	295.0	333.4	295.0	335.239	377.0	333.4	295.0	333.4	295.0	1	40
54	TRINITY_DN28_c0_g6_i1	85.192	30.0	82.49	23.0	82.49	23.0	536	0.733	1.0	0.962	0.476	0.674	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	41	41	85.192	30.0	82.49	23.0	82.49	23.0	85.192	30.0	82.49	23.0	82.49	23.0	85.192	30.0	82.49	23.0	82.49	23.0	1	41
55	TRINITY_DN26_c0_g1_i1	434.768	623.0	421.56	475.0	421.56	475.0	1626	0.81	1.0	0.967	0.657	0.838	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	42	42	434.768	623.0	421.56	475.0	421.56	475.0	434.768	623.0	421.56	475.0	421.56	475.0	434.768	623.0	421.56	475.0	421.56	475.0	1	42
56	TRINITY_DN30_c0_g1_i1	874.23	1290.0	887.76	1030.0	887.76	1030.0	1669	0.794	1.0	0.967	0.693	0.903	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	43	43	874.23	1290.0	887.76	1030.0	887.76	1030.0	874.23	1290.0	887.76	1030.0	887.76	1030.0	874.23	1290.0	887.76	1030.0	887.76	1030.0	1	43
57	TRINITY_DN30_c0_g2_i1	69.406	103.103	68.94	80.52	68.94	80.52	1679	0.821	1.0	0.955	0.7	0.893	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	44	44	69.406	103.103	68.94	80.52	68.94	80.52	69.406	103.103	68.94	80.52	68.94	80.52	69.406	103.103	68.94	80.52	68.94	80.52	1	44
58	TRINITY_DN30_c0_g3_i1	304.612	451.897	297.89	347.48	297.89	347.48	1677	0.788	1.0	0.961	0.68	0.898	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	45	45	304.612	451.897	297.89	347.48	297.89	347.48	304.612	451.897	297.89	347.48	297.89	347.48	304.612	451.897	297.89	347.48	297.89	347.48	1	45
59	TRINITY_DN72_c0_g1_i2	65.04	128.991	65.86	102.64	65.86	102.64	2181	0.829	0.862	0.967	0.225	0.325	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	46	46	65.04	128.991	65.86	102.64	65.86	102.64	65.04	128.991	65.86	102.64	65.86	102.64	65.04	128.991	65.86	102.64	65.86	102.64	1	46
60	TRINITY_DN72_c0_g1_i1	19.591	16.009	22.3	14.36	22.3	14.36	1005	0.423	0.976	0.964	0.385	0.967	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	47	47	19.591	16.009	22.3	14.36	22.3	14.36	19.591	16.009	22.3	14.36	22.3	14.36	19.591	16.009	22.3	14.36	22.3	14.36	1	47
61	TRINITY_DN38_c0_g1_i1	330.11	511.0	327.03	398.0	327.03	398.0	1742	0.732	1.0	0.97	0.68	0.958	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	48	48	330.11	511.0	327.03	398.0	327.03	398.0	330.11	511.0	327.03	398.0	327.03	398.0	330.11	511.0	327.03	398.0	327.03	398.0	1	48
62	TRINITY_DN50_c0_g1_i1	309.538	264.0	293.3	197.0	293.3	197.0	1041	0.821	1.0	0.964	0.702	0.888	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	49	49	309.538	264.0	293.3	197.0	293.3	197.0	309.538	264.0	293.3	197.0	293.3	197.0	309.538	264.0	293.3	197.0	293.3	197.0	1	49
63	TRINITY_DN34_c0_g1_i5	267.787	271.672	231.26	184.66	231.26	184.66	1204	0.898	1.0	0.937	0.683	0.812	0.927	0.927	0.718	0.718	0.718	0.718	1.0	1.0	1.0	1.0	1.0	1.0	50	50	288.984	293.176	322.29	257.34	322.29	257.34	144.492	146.588	161.145	128.67	161.145	128.67	267.787	271.672	231.26	184.66	231.26	184.66	2	50
